player,position,school,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,tm,rnd,pick,yr
Sam Acho,OLB,Texas,6-2,262,4.67,33.5,23,112,6.69,4.32,Arizona Cardinals,4,103,2011
Darvin Adams,WR,Auburn,6-2,190,4.56,,,,,,,,,
Danny Aiken,LS,Virginia,6-4,244,5.00,,11,,,,,,,
Ladi Ajiboye,DT,South Carolina,6-1,297,5.30,24.0,23,91,7.72,4.71,,,,
Anthony Allen,RB,Georgia Tech,6-1,228,4.56,41.5,24,120,6.79,4.06,Baltimore Ravens,7,225,2011
Armando Allen,RB,Notre Dame,5-8,199,4.59,,23,,,,,,,
Cortez Allen,CB,Citadel,6-1,197,4.50,35.5,18,129,6.76,4.01,Pittsburgh Steelers,4,128,2011
Pierre Allen,DE,Nebraska,6-3,273,4.78,,,,,,,,,
Prince Amukamara,CB,Nebraska,6-0,206,4.38,38.0,15,128,6.97,4.08,New York Giants,1,19,2011
David Arkin,OG,Missouri State,6-5,300,5.31,29.0,25,103,7.60,4.63,Dallas Cowboys,4,110,2011
Matt Asiata,RB,Utah,5-11,229,4.77,30.0,22,104,7.09,4.37,,,,
Marvin Austin,DT,North Carolina,6-2,309,4.84,30.5,38,112,7.33,4.40,New York Giants,2,52,2011
Akeem Ayers,OLB,UCLA,6-2,254,4.81,31.0,18,116,7.49,4.28,Tennessee Titans,2,39,2011
Allen Bailey,DE,Miami (FL),6-3,285,4.71,36.5,27,117,7.43,4.56,Kansas City Chiefs,3,86,2011
Dan Bailey,K,Oklahoma State,6-0,193,4.92,,,,,,,,,
Brandon Bair,DE,Oregon,6-6,276,4.92,28.0,26,114,7.07,4.37,,,,
Jon Baldwin,WR,Pittsburgh,6-4,228,4.49,42.0,20,129,7.07,4.34,Kansas City Chiefs,1,26,2011
Christian Ballard,DE,Iowa,6-4,283,4.75,31.5,,111,7.54,4.51,Minnesota Vikings,4,106,2011
Joe Barksdale,OT,LSU,6-5,325,5.31,29.0,29,103,8.27,4.75,Oakland Raiders,3,92,2011
Ryan Bartholomew,C,Syracuse,6-1,302,4.93,26.5,34,92,7.62,4.62,,,,
Jeremy Beal,DE,Oklahoma,6-2,262,5.14,28.5,22,106,7.19,4.46,Denver Broncos,7,247,2011
Nick Bellore,ILB,Central Michigan,6-1,245,4.84,32.5,23,109,6.98,4.00,,,,
Damien Berry,RB,Miami (FL),5-10,211,4.58,33.5,23,120,7.00,4.12,,,,
Armon Binns,WR,Cincinnati,6-3,209,4.50,31.5,13,118,6.86,4.31,,,,
Ahmad Black,S,Florida,5-9,184,4.70,35.5,18,119,6.85,4.20,Tampa Bay Buccaneers,5,151,2011
Clint Boling,OG,Georgia,6-5,308,5.28,31.0,28,102,7.66,4.64,Cincinnati Bengals,4,101,2011
Justin Boren,OG,Ohio State,6-3,309,5.40,,28,,7.57,4.75,,,,
Matt Bosher,P,Miami (FL),6-1,208,4.78,,8,,,,Atlanta Falcons,6,192,2011
Da'Quan Bowers,DE,Clemson,6-3,280,4.92,,22,,,,Tampa Bay Buccaneers,2,51,2011
Allen Bradford,RB,USC,5-11,242,4.53,29.0,28,113,6.97,4.39,Tampa Bay Buccaneers,6,187,2011
James Brewer,OT,Indiana,6-6,323,5.21,26.0,25,100,7.84,4.81,New York Giants,4,117,2011
Niles Brinkley,CB,Wisconsin,5-9,193,4.54,33.5,15,120,7.23,,,,,
DeAndre Brown,WR,Southern Miss,6-6,233,4.59,29.0,20,117,6.93,4.33,,,,
Chykie Brown,CB,Texas,5-11,190,4.49,36.5,,120,6.50,4.00,Baltimore Ravens,5,164,2011
Curtis Brown,CB,Texas,6-0,185,4.51,39.5,10,128,6.59,4.00,Pittsburgh Steelers,3,95,2011
Jalil Brown,CB,Colorado,6-1,204,4.52,35.5,24,116,6.85,4.25,Kansas City Chiefs,4,118,2011
Vincent Brown,WR,San Diego State,5-11,187,4.68,33.5,12,121,6.64,4.25,San Diego Chargers,3,82,2011
Kendric Burney,CB,North Carolina,5-9,186,4.71,32.5,14,112,,,,,,
Brandon Burton,CB,Utah,6-0,190,4.50,32.0,18,118,6.93,4.07,Minnesota Vikings,5,139,2011
Stephen Burton,WR,West Texas A&M,6-1,221,4.50,34.5,19,117,7.04,4.31,Minnesota Vikings,7,236,2011
Mario Butler,CB,Georgia Tech,6-0,182,4.65,30.5,,120,7.09,4.37,,,,
Jordan Cameron,TE,USC,6-5,254,4.53,37.5,23,119,6.82,4.03,Cleveland Browns,4,102,2011
Jeff Van Camp,QB,Florida Atlantic,6-5,218,4.83,31.0,,114,6.87,4.16,,,,
Marcus Cannon,OT,TCU,6-5,358,5.26,30.5,33,105,8.07,4.97,New England Patriots,5,138,2011
Gabe Carimi,OT,Wisconsin,6-7,314,5.18,31.5,29,109,,,Chicago Bears,1,29,2011
Roc Carmichael,CB,Virginia Tech,5-10,192,4.41,31.0,13,116,6.69,4.06,Houston Texans,4,127,2011
James Carpenter,OT,Alabama,6-4,321,5.22,,23,,,,Seattle Seahawks,1,25,2011
Bruce Carter,OLB,North Carolina,6-1,241,4.57,,25,,,,Dallas Cowboys,2,40,2011
Chris Carter,OLB,Fresno State,6-1,248,4.58,36.0,27,114,6.88,4.34,Pittsburgh Steelers,5,162,2011
Delone Carter,RB,Syracuse,5-9,222,4.54,37.0,27,120,6.92,4.07,Indianapolis Colts,4,119,2011
Quinton Carter,S,Oklahoma,6-1,208,4.57,34.5,23,121,7.05,4.06,Denver Broncos,4,108,2011
Jurrell Casey,DT,USC,6-1,300,5.04,27.5,26,101,7.51,4.78,Tennessee Titans,3,77,2011
Anthony Castonzo,OT,Boston Col.,6-7,311,5.21,29.5,28,105,7.25,4.40,Indianapolis Colts,1,22,2011
Shaun Chapas,FB,Georgia,6-2,247,4.87,35.5,23,116,7.13,4.40,Dallas Cowboys,7,220,2011
Chimdi Chekwa,CB,Ohio State,6-0,191,4.38,34.5,,126,,,Oakland Raiders,4,113,2011
Ugo Chinasa,DE,Oklahoma State,6-5,264,4.63,28.0,22,117,7.07,4.39,,,,
Garrett Chisolm,OG,South Carolina,6-5,312,5.36,,,,,,,,,
Charles Clay,FB,Tulsa,6-3,245,4.69,33.5,18,118,7.07,4.15,Miami Dolphins,6,174,2011
John Clay,RB,Wisconsin,6-0,230,4.83,29.0,,111,,,,,,
Adrian Clayborn,DE,Iowa,6-3,281,4.78,33.0,,113,7.30,4.13,Tampa Bay Buccaneers,1,20,2011
Randall Cobb,WR,Kentucky,5-10,191,4.46,33.5,16,115,7.08,4.34,Green Bay Packers,2,64,2011
Ryan Colburn,QB,Fresno State,6-3,233,5.12,,,,6.84,4.28,,,,
Chris Conte,S,California,6-2,197,4.52,35.5,18,127,7.01,4.19,Chicago Bears,3,93,2011
Graig Cooper,RB,Miami (FL),5-10,205,4.60,,18,114,6.66,4.03,,,,
