player,position,school,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,tm,rnd,pick,yr
Vance Cuff,CB,Georgia,5-10,178,4.53,36.0,,120,6.91,4.09,,,,
Chris Culliver,CB,South Carolina,6-0,199,4.36,38.5,,123,6.88,4.08,San Francisco 49ers,3,80,2011
Andy Dalton,QB,TCU,6-2,215,4.83,29.5,,106,6.93,4.27,Cincinnati Bengals,2,35,2011
Wayne Daniels,OLB,TCU,6-0,260,5.03,25.0,,106,7.81,4.68,,,,
Marcell Dareus,DT,Alabama,6-3,319,4.93,27.0,24,,7.83,4.62,Buffalo Bills,1,3,2011
Josh Davis,OT,Georgia,6-7,313,5.50,24.0,,91,7.98,5.07,,,,
Mark Dell,WR,Michigan State,6-0,193,4.54,,14,,,,,,,
Akeem Dent,ILB,Georgia,6-1,242,4.73,37.5,24,123,,,Atlanta Falcons,3,91,2011
Noel Devine,RB,West Virginia,5-7,179,4.43,,24,,,,,,,
Pat Devlin,QB,Pittsburgh,6-3,225,4.81,33.0,,116,7.08,4.32,,,,
Demarcus Dobbs,DE,Georgia,6-2,281,4.87,31.0,,107,7.22,4.37,,,,
Ray Dominguez,OG,Arkansas,6-4,334,5.45,27.5,21,90,7.74,4.90,,,,
Ryan Donahue,P,Iowa,6-2,193,4.90,,,,,,,,,
Tandon Doss,WR,Indiana,6-2,201,4.62,,14,,,,Baltimore Ravens,4,123,2011
Ras-I Dowling,CB,Virginia,6-1,198,4.40,,19,,,,New England Patriots,2,33,2011
Shaun Draughn,RB,North Carolina,5-11,213,4.73,34.0,21,118,7.15,4.20,,,,
Demarcus Van Dyke,CB,Miami (FL),6-1,176,4.28,33.5,5,121,6.97,4.09,Oakland Raiders,3,81,2011
Kenrick Ellis,DT,Kansas State,6-5,346,5.19,,26,,,,New York Jets,3,94,2011
Ricky Elmore,DE,Arizona,6-4,255,4.88,31.5,26,106,7.25,4.32,Green Bay Packers,6,197,2011
Nathan Enderle,QB,Idaho,6-4,240,5.12,25.5,,102,7.13,4.46,Chicago Bears,5,160,2011
Darren Evans,RB,Virginia Tech,6-0,227,4.56,35.0,26,111,6.96,4.46,,,,
Nick Fairley,DT,Auburn,6-4,291,4.84,31.0,,113,7.14,4.56,Detroit Lions,1,13,2011
Mario Fannin,RB,Auburn,5-10,231,4.37,37.5,21,115,6.99,4.21,,,,
Kai Forbath,K,UCLA,5-11,197,4.78,,,,,,,,,
Reid Forrest,P,Washington State,6-0,189,4.69,,,,,,,,,
Mason Foster,OLB,Washington,6-1,245,4.75,31.0,22,110,7.14,4.45,Tampa Bay Buccaneers,3,84,2011
Orlando Franklin,OT,Miami (FL),6-5,316,5.11,28.5,26,,,,Denver Broncos,2,46,2011
Sione Fua,DT,Stanford,6-1,308,5.28,24.0,30,101,7.54,4.54,Carolina Panthers,3,97,2011
Brandon Fusco,C,Slippery Rock,6-4,306,5.18,28.5,26,108,7.29,4.43,Minnesota Vikings,6,172,2011
Blaine Gabbert,QB,Missouri,6-4,234,4.61,33.5,,120,6.84,4.26,Jacksonville Jaguars,1,10,2011
Charlie Gantt,TE,Michigan State,6-4,252,4.85,30.5,27,112,7.15,4.40,,,,
Clyde Gates,WR,Abilene Christian,6-0,192,4.31,40.0,16,131,,,Miami Dolphins,4,111,2011
Marcus Gilbert,OT,Florida,6-6,330,5.41,,30,,,,Pittsburgh Steelers,2,63,2011
Marcus Gilchrist,CB,Clemson,5-10,195,4.45,38.5,26,119,6.81,4.12,San Diego Chargers,2,50,2011
DeJon Gomes,S,Nebraska,5-11,208,4.50,31.0,13,110,,,Washington Redskins,5,146,2011
Cameron Graham,TE,Louisville,6-3,244,5.00,31.0,18,105,7.19,4.51,,,,
Adam Grant,OT,Arizona,6-6,325,5.54,26.5,25,99,8.25,5.00,,,,
John Graves,DT,Virginia Tech,6-3,286,5.09,28.5,29,114,7.49,4.49,,,,
A.J. Green,WR,Georgia,6-4,211,4.48,34.5,18,126,6.91,4.21,Cincinnati Bengals,1,4,2011
Alex Green,RB,Hawaii,6-0,225,4.45,34.0,20,114,6.91,4.15,Green Bay Packers,3,96,2011
Virgil Green,TE,Nevada,6-3,249,4.54,42.5,23,130,6.90,4.40,Denver Broncos,7,204,2011
Tori Gurley,WR,South Carolina,6-4,216,4.53,33.5,15,118,7.05,4.25,,,,
Lawrence Guy,DT,Arizona State,6-4,305,4.96,29.0,28,,7.60,4.43,Green Bay Packers,7,233,2011
Eric Hagg,S,Nebraska,6-1,209,4.62,34.5,18,121,6.73,4.19,Cleveland Browns,7,248,2011
Chris Hairston,OT,Clemson,6-6,326,5.38,29.0,33,96,7.90,4.70,Buffalo Bills,4,122,2011
Jamel Hamler,WR,Fresno State,6-1,193,4.59,32.0,4,112,7.16,4.18,,,,
Leonard Hankerson,WR,Miami (FL),6-1,209,4.40,36.0,14,117,6.94,4.21,Washington Redskins,3,79,2011
Daniel Hardy,TE,Idaho,6-4,249,4.78,,18,,,,Tampa Bay Buccaneers,7,238,2011
Jamie Harper,RB,Clemson,5-11,233,4.53,36.5,24,120,7.16,4.39,Tennessee Titans,4,130,2011
Brandon Harris,CB,Miami (FL),5-9,191,4.46,35.5,13,113,6.77,4.12,Houston Texans,2,60,2011
Dwayne Harris,WR,East Carolina,5-10,203,4.53,34.0,10,111,6.77,4.21,Dallas Cowboys,6,176,2011
Stanley Havili,FB,USC,6-0,227,4.64,,,,,,Philadelphia Eagles,7,240,2011
Roy Helu,RB,Nebraska,5-11,219,4.40,36.5,11,119,6.67,4.01,Washington Redskins,4,105,2011
Alex Henery,K,Nebraska,6-1,177,4.87,,,,,,Philadelphia Eagles,4,120,2011
Chas Henry,P,Florida,6-3,219,4.85,,,,,,,,,
Ricky Henry,OG,Nebraska,6-3,308,5.68,24.0,20,90,7.98,4.68,,,,
Mark Herzlich,OLB,Boston Col.,6-4,244,4.91,32.5,29,112,7.32,4.46,,,,
Cameron Heyward,DE,Ohio State,6-5,294,4.95,30.0,,,,,Pittsburgh Steelers,1,31,2011
Will Hill,S,Florida,6-1,202,4.64,31.0,,123,,4.19,,,,
Jermale Hines,S,Ohio State,6-1,219,4.59,31.0,19,,6.90,4.21,St. Louis Rams,5,158,2011
Kyle Hix,OT,Texas,6-7,319,5.44,32.0,24,104,7.77,4.78,,,,
Brandon Hogan,CB,West Virginia,5-10,192,4.43,,19,,,,Carolina Panthers,4,98,2011
Doug Hogue,OLB,Syracuse,6-2,235,4.62,36.0,18,121,7.09,4.57,Detroit Lions,5,157,2011
Andre Holmes,WR,Hillsdale,6-4,210,4.51,35.0,11,130,6.69,4.31,,,,
Ross Homan,OLB,Ohio State,6-1,240,4.66,35.5,32,111,7.21,4.34,Minnesota Vikings,6,200,2011
Davon House,CB,New Mexico State,6-0,200,4.44,33.5,14,109,6.65,4.12,Green Bay Packers,4,131,2011
Rob Housler,TE,Florida Atlantic,6-5,248,4.46,37.0,22,117,6.90,4.21,Arizona Cardinals,3,69,2011
Justin Houston,OLB,Georgia,6-3,270,4.62,36.5,30,125,6.95,4.37,Kansas City Chiefs,3,70,2011
Rodney Hudson,C,Florida State,6-2,299,5.27,25.5,27,95,8.03,4.96,Kansas City Chiefs,2,55,2011
Kevin Hughes,OT,SE Louisiana,6-4,302,5.31,29.5,22,95,8.29,4.97,,,,
Jeremiha Hunter,OLB,Iowa,6-0,239,4.77,31.5,20,116,,,,,,
Kendall Hunter,RB,Oklahoma State,5-7,199,4.46,35.0,24,122,6.74,4.21,San Francisco 49ers,4,115,2011
Zach Hurd,OG,Connecticut,6-7,316,5.28,28.0,,101,7.73,4.77,,,,
Maurice Hurt,OG,Florida,6-3,318,5.39,,18,,,,Washington Redskins,7,217,2011
Henry Hynoski,FB,Pittsburgh,6-0,257,5.06,30.5,24,111,,,,,,
Ben Ijalana,OG,Villanova,6-4,317,5.20,,,,,,Indianapolis Colts,2,49,2011
Mark Ingram,RB,Alabama,5-9,215,4.62,31.5,21,118,7.13,4.62,New Orleans Saints,1,28,2011
Nate Irving,ILB,North Carolina State,6-1,240,4.74,,,,,,Denver Broncos,3,67,2011
Andrew Jackson,OG,Fresno State,6-5,299,5.27,28.0,25,98,7.55,4.65,Atlanta Falcons,7,210,2011
Jaiquawn Jarrett,S,Temple,6-0,198,4.62,30.0,14,113,6.95,4.14,Philadelphia Eagles,2,54,2011
Josh Jasper,K,LSU,5-10,174,5.06,,,,,,,,,
Lestar Jean,WR,Florida Atlantic,6-3,215,4.61,37.5,14,113,7.45,4.43,,,,
Jarvis Jenkins,DT,Clemson,6-4,310,5.03,26.5,17,98,7.42,4.83,Washington Redskins,2,41,2011
Jerrel Jernigan,WR,Troy,5-9,185,4.46,37.5,11,124,7.07,4.25,New York Giants,3,83,2011
Carl Johnson,OG,Florida,6-5,361,5.40,25.5,25,96,,5.03,,,,
Jeron Johnson,S,Boise State,5-10,212,4.51,,23,,,,,,,
Jerrod Johnson,QB,Texas A&M,6-5,251,4.75,29.0,,119,7.28,4.31,,,,
Ronald Johnson,WR,USC,5-11,199,4.46,,16,,,,San Francisco 49ers,6,182,2011
Greg Jones,ILB,Michigan State,6-0,242,4.75,31.5,21,117,7.27,4.27,New York Giants,6,185,2011
Julio Jones,WR,Alabama,6-3,220,4.34,38.5,17,135,6.66,4.25,Atlanta Falcons,1,6,2011
Taiwan Jones,RB,East. Washington,6-0,194,4.33,,13,,,,Oakland Raiders,4,125,2011
Cameron Jordan,DE,California,6-4,287,4.74,31.0,25,117,7.07,4.37,New Orleans Saints,1,24,2011
Elijah Joseph,ILB,Temple,6-1,243,4.80,,,,,,,,,
Colin Kaepernick,QB,Nevada,6-5,233,4.53,32.5,,115,6.85,4.18,San Francisco 49ers,2,36,2011
Jason Kelce,C,Cincinnati,6-3,280,4.89,30.5,,110,7.22,4.14,Philadelphia Eagles,6,191,2011
Lance Kendricks,TE,Wisconsin,6-3,243,4.65,34.5,25,122,6.94,4.15,St. Louis Rams,2,47,2011
Shiloh Keo,S,Idaho,5-11,219,4.74,32.5,24,110,6.55,3.90,Houston Texans,5,144,2011
Jeremy Kerley,WR,TCU,5-9,189,4.56,34.5,16,120,,,New York Jets,5,153,2011
Ryan Kerrigan,DE,Purdue,6-4,267,4.67,33.5,31,122,7.18,4.39,Washington Redskins,1,16,2011
Daniel Kilgore,OG,Appalachian State,6-3,308,5.28,32.5,23,105,7.59,4.68,San Francisco 49ers,5,163,2011
Jarriel King,OT,South Carolina,6-5,317,5.03,30.0,23,114,7.60,4.77,,,,
Karl Klug,DE,Iowa,6-3,275,4.85,,22,,,,Tennessee Titans,5,142,2011
Rich Lapham,OT,Boston Col.,6-8,315,5.34,,,,,,,,,
Joe Lefeged,S,Rutgers,6-0,210,4.42,36.5,18,122,6.82,4.13,,,,
Mark LeGree,S,Appalachian State,5-11,210,4.49,31.0,21,116,6.90,4.09,Seattle Seahawks,5,156,2011
Orie Lemon,ILB,Oklahoma State,6-1,242,4.87,30.0,27,113,7.45,4.40,,,,
Mikel Leshoure,RB,Illinois,6-0,227,4.56,38.0,21,122,6.82,4.40,Detroit Lions,2,57,2011
Pep Levingston,DE,LSU,6-3,292,4.86,29.5,,104,7.29,4.62,,,,
Dion Lewis,RB,Pittsburgh,5-7,193,4.56,34.5,17,112,6.90,4.18,Philadelphia Eagles,5,149,2011
Alex Linnenkohl,C,Oregon State,6-2,304,5.36,26.5,24,89,7.67,4.62,,,,
Greg Little,WR,North Carolina,6-2,231,4.51,40.5,27,129,6.80,4.21,Cleveland Browns,2,59,2011
Corey Liuget,DT,Illinois,6-2,298,4.97,27.5,27,102,7.48,4.68,San Diego Chargers,1,18,2011
Greg Lloyd,ILB,Connecticut,6-1,246,4.80,32.0,22,109,7.17,4.46,Philadelphia Eagles,7,237,2011
Derrick Locke,RB,Kentucky,5-8,188,4.37,37.5,16,118,6.98,4.15,,,,
Jake Locker,QB,Washington,6-2,231,4.51,35.0,,120,6.77,4.12,Tennessee Titans,1,8,2011
Ricardo Lockette,WR,Fort Valley State,6-2,211,4.34,35.5,,127,7.15,4.19,,,,
DeMarcus Love,OT,Arkansas,6-4,315,5.18,26.5,27,97,7.84,4.84,Minnesota Vikings,6,168,2011
Scott Lutrus,OLB,Connecticut,6-2,241,4.68,38.0,,121,6.89,4.09,,,,
Jeff Maehl,WR,Oregon,6-1,190,4.56,33.5,,115,6.42,3.94,,,,
Ryan Mallett,QB,Arkansas,6-7,253,5.37,24.0,,103,,,New England Patriots,3,74,2011
Owen Marecic,FB,Stanford,6-0,248,4.87,28.5,22,102,7.10,4.56,Cleveland Browns,4,124,2011
Curtis Marsh,CB,Utah State,6-0,197,4.42,37.5,12,123,6.87,4.07,Philadelphia Eagles,3,90,2011
Casey Matthews,ILB,Oregon,6-1,231,4.78,,13,,,,Philadelphia Eagles,4,116,2011
Cliff Matthews,DE,South Carolina,6-3,257,4.81,32.0,17,112,7.21,4.37,Atlanta Falcons,7,230,2011
Byron Maxwell,CB,Clemson,6-0,202,4.43,33.0,24,124,,,Seattle Seahawks,6,173,2011
Colin McCarthy,ILB,Miami (FL),6-1,238,4.59,36.5,23,119,6.93,4.20,Tennessee Titans,4,109,2011
Terrell McClain,DT,South Florida,6-2,297,4.98,28.0,29,104,7.48,4.56,Carolina Panthers,3,65,2011
DeAndre McDaniel,S,Clemson,6-0,217,4.63,35.0,,116,,,,,,
Greg McElroy,QB,Alabama,6-2,220,4.84,33.0,,107,7.11,4.45,New York Jets,7,208,2011
Andrew McGee,CB,Oklahoma State,5-11,195,4.71,34.0,,117,,,,,,
Pernell McPhee,DE,Mississippi State,6-3,278,4.91,28.5,20,107,7.13,4.59,Baltimore Ravens,5,165,2011
Bruce Miller,OLB,Central Florida,6-1,254,4.81,31.0,35,113,7.05,4.34,San Francisco 49ers,7,211,2011
Von Miller,OLB,Texas A&M,6-3,246,4.42,37.0,21,126,6.70,4.06,Denver Broncos,1,2,2011
Dontay Moch,OLB,Nevada,6-1,248,4.40,42.0,21,128,7.09,4.38,Cincinnati Bengals,3,66,2011
John Moffitt,OG,Wisconsin,6-4,319,5.51,30.5,23,102,7.79,4.53,Seattle Seahawks,3,75,2011
Mike Mohamed,ILB,California,6-3,239,4.65,32.0,21,115,6.70,4.00,Denver Broncos,6,189,2011
Denarius Moore,WR,Tennessee,6-0,194,4.43,36.0,13,118,6.78,4.15,Oakland Raiders,5,148,2011
Rahim Moore,S,UCLA,6-0,202,4.58,35.0,11,115,6.98,3.96,Denver Broncos,2,45,2011
Joseph Morgan,WR,Michigan State,6-0,189,4.38,35.5,10,123,6.91,4.25,,,,
Adrian Moten,OLB,Maryland,6-2,228,4.53,31.0,18,114,7.05,4.21,,,,
Jonas Mouton,OLB,Michigan,6-1,239,4.84,31.5,,115,7.08,4.34,San Diego Chargers,2,61,2011
O.J. Murdock,WR,Fort Hays State,5-10,197,4.50,34.5,15,116,,4.37,,,,
DeMarco Murray,RB,Oklahoma,6-0,213,4.37,34.5,21,124,7.28,4.18,Dallas Cowboys,3,71,2011
Chris Neild,DT,West Virginia,6-2,319,5.06,29.0,30,106,7.56,4.46,Washington Redskins,7,253,2011
Drake Nevis,DT,LSU,6-1,294,5.06,30.5,31,112,7.71,4.65,Indianapolis Colts,3,87,2011
Jamar Newsome,WR,Central Florida,6-0,200,4.46,38.5,13,129,6.83,4.22,,,,
Cam Newton,QB,Auburn,6-5,248,4.56,35.0,,126,6.92,4.18,Carolina Panthers,1,1,2011
Derek Newton,OT,Arkansas State,6-5,311,5.00,25.5,24,100,7.76,5.00,Houston Texans,7,214,2011
Kris O'Dowd,C,USC,6-4,304,5.12,32.5,31,105,7.67,4.59,,,,
Schuylar Oordt,TE,New Mexico,6-6,261,4.63,36.0,18,119,6.83,4.25,,,,
Cheta Ozougwu,DE,Rice,6-2,247,4.84,34.5,26,119,7.06,4.31,Houston Texans,7,254,2011
Stephen Paea,DT,Oregon State,6-1,303,4.98,,49,,,,Chicago Bears,2,53,2011
Martin Parker,DT,Richmond,6-2,303,4.95,29.0,22,104,7.56,4.57,,,,
Johnny Patrick,CB,Louisville,5-11,191,4.59,32.0,13,110,,4.16,New Orleans Saints,3,88,2011
Niles Paul,WR,Nebraska,6-1,224,4.45,34.5,24,117,6.90,4.14,Washington Redskins,5,155,2011
Mike Person,OG,Montana State,6-4,299,5.07,28.0,21,108,7.44,4.50,San Francisco 49ers,7,239,2011
Patrick Peterson,CB,LSU,6-0,219,4.31,38.0,15,126,6.58,4.07,Arizona Cardinals,1,5,2011
Austin Pettis,WR,Boise State,6-3,209,4.56,33.5,14,120,6.68,3.88,St. Louis Rams,3,78,2011
Zack Pianalto,TE,North Carolina,6-3,256,4.78,32.0,22,108,6.85,4.41,,,,
Kealoha Pilares,WR,Hawaii,5-10,199,4.42,,19,,,,Carolina Panthers,5,132,2011
Jason Pinkston,OT,Pittsburgh,6-3,317,5.39,26.5,,98,7.88,4.91,Cleveland Browns,5,150,2011
Christian Ponder,QB,Florida State,6-2,229,4.63,34.0,,116,6.85,4.09,Minnesota Vikings,1,12,2011
Josh Portis,QB,California (PA),6-3,211,4.59,40.0,,126,6.84,4.12,,,,
Mike Pouncey,OG,Florida,6-5,303,5.12,25.0,,96,7.66,4.64,Miami Dolphins,1,15,2011
Jerrell Powe,DT,Mississippi,6-2,335,5.25,25.0,27,93,8.17,5.06,Kansas City Chiefs,6,199,2011
Bilal Powell,RB,Louisville,5-10,207,4.51,,18,,,,New York Jets,4,126,2011
Robert Quinn,DE,North Carolina,6-4,265,4.62,34.0,22,116,7.13,4.40,St. Louis Rams,1,14,2011
Will Rackley,OG,Lehigh,6-3,309,5.39,23.5,29,99,7.91,4.94,Jacksonville Jaguars,3,76,2011
Brooks Reed,OLB,Arizona,6-2,263,4.65,30.5,30,113,7.11,4.28,Houston Texans,2,42,2011
D'Aundre Reed,DE,Arizona,6-4,261,4.84,35.5,30,119,7.24,4.32,Minnesota Vikings,7,215,2011
Jah Reid,OT,Central Florida,6-7,327,5.32,29.5,28,111,7.73,4.65,Baltimore Ravens,3,85,2011
Allen Reisner,FB,Iowa,6-2,248,4.90,28.0,14,108,7.31,4.59,,,,
Stevan Ridley,RB,LSU,5-11,225,4.65,36.0,18,118,6.78,4.21,New England Patriots,3,73,2011
Aldrick Robinson,WR,SMU,5-10,184,4.35,40.0,17,126,6.65,4.09,Washington Redskins,6,178,2011
Jacquizz Rodgers,RB,Oregon State,5-6,196,4.59,33.0,,113,7.31,4.26,Atlanta Falcons,5,145,2011
Jake Rogers,K,Cincinnati,6-2,213,5.06,,,,,,,,,
Justin Rogers,CB,Richmond,5-10,180,4.45,33.0,14,114,7.21,4.20,Buffalo Bills,7,206,2011
Brian Rolle,OLB,Ohio State,5-10,229,4.53,33.0,28,115,6.89,4.26,Philadelphia Eagles,6,193,2011
Greg Romeus,DE,Pittsburgh,6-5,264,4.79,,,,,,New Orleans Saints,7,226,2011
Evan Royster,RB,Penn State,6-0,212,4.65,34.0,20,113,7.07,4.18,Washington Redskins,6,177,2011
Chris Rucker,CB,Michigan State,6-0,195,4.54,,10,,,,Indianapolis Colts,6,188,2011
Kyle Rudolph,TE,Notre Dame,6-6,259,4.83,,,,,,Minnesota Vikings,2,43,2011
Kevin Rutland,CB,Missouri,6-0,190,4.58,35.5,12,118,6.92,4.15,,,,
Brandon Saine,RB,Ohio State,5-11,220,4.40,34.5,22,113,6.98,4.25,,,,
Greg Salas,WR,Hawaii,6-1,210,4.53,37.0,15,120,6.65,4.10,St. Louis Rams,4,112,2011
DeMarco Sampson,WR,San Diego State,6-2,204,4.41,,14,,,,Arizona Cardinals,7,249,2011
Jock Sanders,WR,West Virginia,5-6,181,4.50,34.5,19,121,6.78,4.13,,,,
Robert Sands,S,West Virginia,6-4,217,4.53,35.0,12,124,7.03,4.06,Cincinnati Bengals,5,134,2011
Dane Sanzenbacher,WR,Ohio State,5-11,182,4.56,33.5,,118,6.46,3.97,,,,
Tyler Sash,S,Iowa,6-0,211,4.62,33.0,11,108,6.90,4.27,New York Giants,6,198,2011
Weslye Saunders,TE,South Carolina,6-5,270,4.93,33.5,19,116,,,,,,
Steve Schilling,OG,Michigan,6-4,308,5.18,25.5,30,98,7.73,4.62,San Diego Chargers,6,201,2011
Caleb Schlauderaff,OG,Utah,6-4,305,5.18,,,,,,Green Bay Packers,6,179,2011
Da'Rel Scott,RB,Maryland,5-11,211,4.40,34.0,19,117,7.15,4.20,New York Giants,7,221,2011
Da'Norris Searcy,S,North Carolina,5-11,223,4.55,33.0,27,120,6.87,4.09,Buffalo Bills,4,100,2011
Jabaal Sheard,DE,Pittsburgh,6-3,264,4.68,31.0,,115,,,Cleveland Browns,2,37,2011
Kelvin Sheppard,ILB,LSU,6-2,250,4.70,33.5,22,110,,4.28,Buffalo Bills,3,68,2011
Anthony Sherman,FB,Connecticut,5-10,242,4.74,32.5,32,111,7.23,4.41,Arizona Cardinals,5,136,2011
