player,position,school,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,tm,rnd,pick,yr
Vernon Butler,DT,Louisiana Tech,6-4,323,5.33,29.5,26,104,7.82,4.76,Carolina Panthers,1,30,2016
Devon Cajuste,WR,Stanford,6-4,234,4.62,36.0,12,123,6.49,4.20,,,,
Shilique Calhoun,DE,Michigan State,6-4,251,4.82,35.0,23,115,6.97,4.25,Oakland Raiders,3,75,2016
Taveze Calhoun,CB,Mississippi State,6-0,192,4.58,33.5,14,,,,,,,
De'Vondre Campbell,OLB,Minnesota,6-4,232,4.58,34.0,16,116,,,Atlanta Falcons,4,115,2016
Maurice Canady,CB,Virginia,6-1,193,4.49,38.0,16,124,7.03,4.09,Baltimore Ravens,6,209,2016
Leonte Carroo,WR,Rutgers,6-0,211,4.50,35.5,14,120,,,Miami Dolphins,3,86,2016
Tra Carson,RB,Texas A&M,5-11,227,4.63,,19,,,,,,,
Tevin Carter,S,Utah,6-1,218,4.48,,19,,,,,,,
Jeremy Cash,S,Duke,6-0,212,4.56,,,,,,,,,
Joseph Cheek,OG,Texas A&M,6-6,295,5.27,,20,,,,,,,
Kenny Clark,DT,UCLA,6-3,314,5.06,28.5,29,102,,4.62,Green Bay Packers,1,27,2016
Le'Raven Clark,OT,Texas Tech,6-5,316,5.16,,18,,,,Indianapolis Colts,3,82,2016
Corey Coleman,WR,Baylor,5-11,194,4.42,40.5,17,129,,,Cleveland Browns,1,15,2016
Shon Coleman,OT,Auburn,6-5,307,5.18,,22,,,,Cleveland Browns,3,76,2016
Alex Collins,RB,Arkansas,5-10,217,4.59,28.5,18,113,,,Seattle Seahawks,5,171,2016
Maliek Collins,DT,Nebraska,6-2,311,5.03,29.5,25,109,7.53,4.52,Dallas Cowboys,3,67,2016
Jack Conklin,OT,Michigan State,6-6,308,5.00,30.0,25,103,7.63,4.57,Tennessee Titans,1,8,2016
Connor Cook,QB,Michigan State,6-4,217,4.79,33.0,,113,7.21,4.28,Oakland Raiders,4,100,2016
Fahn Cooper,OT,Mississippi,6-4,303,5.17,25.0,19,102,7.85,4.89,San Francisco 49ers,5,174,2016
Pharoh Cooper,WR,South Carolina,5-11,203,4.52,31.0,15,115,,,Los Angeles Rams,4,117,2016
Marshaun Coprich,RB,Illinois State,5-8,207,4.47,34.0,17,112,7.26,4.58,,,,
Cody Core,WR,Mississippi,6-3,205,4.47,31.5,14,119,,,Cincinnati Bengals,6,199,2016
Kamalei Correa,DE,Boise State,6-3,243,4.69,33.0,21,108,,,Baltimore Ravens,2,42,2016
James Cowser,DE,Southern Utah,6-3,248,4.82,31.5,21,111,6.80,4.31,,,,
Brad Craddock,K,Maryland,6-0,186,4.88,,,,,,,,,
Su'A Cravens,OLB,USC,6-1,226,4.58,27.0,16,114,,,Washington Redskins,2,53,2016
Ken Crawley,CB,Colorado,6-0,187,4.43,36.5,,119,,,,,,
Joe Dahl,OT,Washington State,6-4,304,5.18,31.0,28,109,7.64,4.77,Detroit Lions,5,151,2016
Steven Daniels,ILB,Boston Col.,5-11,243,4.86,32.0,16,112,7.33,4.54,Washington Redskins,7,232,2016
Sean Davis,CB,Maryland,6-1,201,4.46,37.5,21,126,6.64,3.97,Pittsburgh Steelers,2,58,2016
Trevor Davis,WR,California,6-1,188,4.42,38.5,11,124,6.60,4.22,Green Bay Packers,5,163,2016
Sheldon Day,DT,Notre Dame,6-1,293,5.07,30.0,21,102,7.44,4.50,Jacksonville Jaguars,4,103,2016
Taylor Decker,OT,Ohio State,6-7,310,5.23,29.0,20,101,7.70,4.76,Detroit Lions,1,16,2016
KJ Dillon,S,West Virginia,6-0,210,4.53,,11,121,,,Houston Texans,5,159,2016
Kenneth Dixon,RB,Louisiana Tech,5-10,215,4.56,37.5,18,121,6.97,4.28,Baltimore Ravens,4,134,2016
Riley Dixon,P,Syracuse,6-4,221,5.04,,,,,,Denver Broncos,7,228,2016
Josh Doctson,WR,TCU,6-2,202,4.50,41.0,14,131,6.84,4.08,Washington Redskins,1,22,2016
Kevin Dodd,DE,Clemson,6-5,277,4.86,,,,,,Tennessee Titans,2,33,2016
Brandon Doughty,QB,Western Kentucky,6-3,213,5.22,27.0,,103,7.49,4.52,Miami Dolphins,7,223,2016
Kenyan Drake,RB,Alabama,6-1,210,4.45,34.5,10,123,7.04,4.21,Miami Dolphins,3,73,2016
Spencer Drango,OT,Baylor,6-6,315,5.27,27.0,30,100,7.88,4.66,Cleveland Browns,5,168,2016
Jeff Driskel,QB,Louisiana Tech,6-4,234,4.56,32.0,,122,7.19,4.25,San Francisco 49ers,6,207,2016
Thomas Duarte,TE,UCLA,6-2,231,4.72,33.5,12,118,6.97,4.24,Miami Dolphins,7,231,2016
Lachlan Edwards,P,Sam Houston State,6-4,209,4.98,,,,,,,,,
Parker Ehinger,OT,Cincinnati,6-6,310,5.26,27.5,,97,,,Kansas City Chiefs,4,105,2016
Deandre Elliott,CB,Colorado State,6-1,188,4.55,41.0,,125,6.93,3.94,,,,
Ezekiel Elliott,RB,Ohio State,6-0,225,4.47,32.5,,118,,,Dallas Cowboys,1,4,2016
Tyler Ervin,RB,San Jose State,5-10,192,4.41,39.0,17,130,,,Houston Texans,4,119,2016
Kyler Fackrell,OLB,Utah State,6-5,245,4.72,34.5,15,121,,,Green Bay Packers,3,88,2016
Ka'Imi Fairbairn,K,UCLA,5-11,183,4.96,,,,,,,,,
Jason Fanaika,DE,Utah,6-2,271,4.92,35.5,23,113,7.06,4.39,,,,
Travis Feeney,OLB,Washington,6-4,230,4.50,40.0,,130,7.20,4.42,Pittsburgh Steelers,6,220,2016
Josh Ferguson,RB,Illinois,5-9,198,4.48,34.5,21,120,,,,,,
Leonard Floyd,OLB,Georgia,6-6,244,4.60,39.5,,127,,,Chicago Bears,1,9,2016
Josh Forrest,ILB,Kentucky,6-3,249,4.91,30.5,11,118,,,Los Angeles Rams,6,190,2016
D.J. Foster,WR,Arizona State,5-10,193,4.57,35.5,14,117,6.75,4.07,,,,
Kavon Frazier,S,Central Michigan,6-0,217,4.53,,18,,,,Dallas Cowboys,6,212,2016
Kris Frost,OLB,Auburn,6-2,240,4.97,29.0,,113,,,,,,
Kendall Fuller,CB,Virginia Tech,5-11,187,4.48,,15,,,,Washington Redskins,3,84,2016
Will Fuller,WR,Notre Dame,6-0,186,4.32,33.5,10,126,6.93,4.27,Houston Texans,1,21,2016
Joshua Garnett,OG,Stanford,6-4,312,5.32,29.0,30,99,7.62,4.64,San Francisco 49ers,1,28,2016
Keyarris Garrett,WR,Tulsa,6-3,220,4.53,36.5,14,128,7.30,4.33,,,,
Graham Glasgow,C,Michigan,6-6,307,5.13,25.0,23,106,7.63,4.63,Detroit Lions,3,95,2016
Jared Goff,QB,California,6-4,215,4.82,27.0,,110,7.17,4.47,Los Angeles Rams,1,1,2016
B.J. Goodson,OLB,Clemson,6-1,242,4.69,34.5,30,118,7.05,4.51,New York Giants,4,109,2016
Adam Gotsis,DT,Georgia Tech,6-4,287,4.88,,,,,,Denver Broncos,2,63,2016
T.J. Green,S,Clemson,6-2,209,4.34,35.5,13,129,,,Indianapolis Colts,2,57,2016
Darrell Greene,OG,San Diego State,6-3,321,5.20,21.5,28,98,8.07,4.98,,,,
David Grinnage,TE,North Carolina State,6-5,248,4.90,29.5,,106,,,,,,
Glenn Gronkowski,FB,Kansas State,6-2,239,4.71,33.0,17,120,7.10,4.45,,,,
Christian Hackenberg,QB,Penn State,6-4,223,4.78,31.0,,114,7.04,4.33,New York Jets,2,51,2016
Tom Hackett,P,Utah,5-10,198,4.86,,,,,,,,,
Joe Haeg,OT,North Dakota State,6-6,304,5.16,27.5,,111,7.47,4.47,Indianapolis Colts,5,155,2016
Deiondre Hall,CB,Northern Iowa,6-2,199,4.68,37.0,,127,7.07,4.06,,,,
Javon Hargrave,DT,South Carolina State,6-1,309,4.93,34.5,29,109,7.90,4.70,Pittsburgh Steelers,3,89,2016
De'Vante Harris,CB,Texas A&M,5-11,176,4.56,38.5,,124,6.82,4.06,,,,
Jerald Hawkins,OT,LSU,6-6,305,5.23,23.5,23,100,8.19,4.89,Pittsburgh Steelers,4,123,2016
Joel Heath,DT,Michigan State,6-5,293,5.02,33.0,26,113,7.44,4.52,,,,
Temarrick Hemingway,TE,South Carolina State,6-5,244,4.71,30.5,18,115,6.88,4.31,Los Angeles Rams,6,177,2016
Derrick Henry,RB,Alabama,6-3,247,4.54,37.0,22,130,7.20,4.38,Tennessee Titans,2,45,2016
Hunter Henry,TE,Arkansas,6-5,250,4.79,,13,,,,San Diego Chargers,2,35,2016
Willie Henry,DT,Michigan,6-3,303,5.00,30.5,28,110,7.57,4.53,Baltimore Ravens,4,132,2016
Quayvon Hicks,FB,Georgia,6-1,259,4.82,,,,,,,,,
Tyler Higbee,TE,Western Kentucky,6-6,249,4.77,,,,,,Los Angeles Rams,4,110,2016
Rashard Higgins,WR,Colorado State,6-1,196,4.64,32.0,13,116,,,Cleveland Browns,5,172,2016
Kevin Hogan,QB,Stanford,6-3,218,4.78,32.5,,113,6.90,4.31,Kansas City Chiefs,5,162,2016
Johnny Holton,WR,Cincinnati,6-1,190,4.54,31.5,8,123,,,,,,
Austin Hooper,TE,Stanford,6-4,254,4.72,33.0,19,117,7.00,4.32,Atlanta Falcons,3,81,2016
Deandre Houston-Carson,S,William & Mary,6-1,201,4.54,32.5,13,115,7.15,4.28,Chicago Bears,6,185,2016
Jordan Howard,RB,Indiana,6-0,230,4.57,34.0,16,122,,,Chicago Bears,5,150,2016
Xavien Howard,CB,Baylor,6-0,201,4.58,33.0,11,122,7.18,4.15,Miami Dolphins,2,38,2016
Germain Ifedi,OT,Texas A&M,6-6,324,5.27,32.5,24,109,,4.75,Seattle Seahawks,1,31,2016
Cleveland Wallace III,CB,San Jose State,5-11,188,4.68,35.5,,123,,,,,,
Vernon Hargreaves III,CB,Florida,5-10,204,4.50,39.0,15,130,,3.98,Tampa Bay Buccaneers,1,11,2016
William Jackson III,CB,Houston,6-0,189,4.37,,10,116,,,Cincinnati Bengals,1,24,2016
Scooby Wright III,ILB,Arizona,6-0,239,4.90,31.0,22,113,,4.47,Cleveland Browns,7,250,2016
Matt Ioannidis,DT,Temple,6-3,299,5.03,28.0,32,108,7.78,4.71,Washington Redskins,5,152,2016
Myles Jack,OLB,UCLA,6-1,245,4.56,,19,,,,Jacksonville Jaguars,2,36,2016
Branden Jackson,DE,Texas Tech,6-4,273,5.06,31.5,20,113,7.40,4.77,,,,
Dominick Jackson,OT,Alabama,6-5,313,5.38,26.0,20,97,,,,,,
Andy Janovich,FB,Nebraska,6-1,238,4.81,34.0,30,119,7.28,4.32,Denver Broncos,6,176,2016
Quinton Jefferson,DT,Maryland,6-4,291,4.95,29.0,24,,7.95,4.37,Seattle Seahawks,5,147,2016
Jordan Jenkins,OLB,Georgia,6-3,259,4.80,36.5,16,121,,,New York Jets,3,83,2016
Austin Johnson,DT,Penn State,6-4,314,5.32,26.0,25,96,7.84,4.75,Tennessee Titans,2,43,2016
C.J. Johnson,ILB,Mississippi,6-1,234,4.81,,,,,4.52,,,,
Devon Johnson,RB,Marshall,6-0,238,4.64,,,,,,,,,
Tyler Johnstone,OT,Oregon,6-5,301,5.21,30.5,24,104,7.31,4.60,,,,
Cardale Jones,QB,Ohio State,6-5,253,4.81,36.0,,,,,Buffalo Bills,4,139,2016
Cayleb Jones,WR,Arizona,6-3,209,4.65,33.5,9,,6.99,4.14,,,,
Chris Jones,DT,Mississippi State,6-6,310,5.03,24.5,26,106,7.44,4.62,Kansas City Chiefs,2,37,2016
Cyrus Jones,CB,Alabama,5-10,197,4.49,33.0,10,116,6.71,4.21,New England Patriots,2,60,2016
Deion Jones,OLB,LSU,6-1,222,4.59,33.0,,120,,,Atlanta Falcons,2,52,2016
Jonathan Jones,CB,Auburn,5-9,186,4.33,36.0,19,123,7.25,4.25,,,,
Karl Joseph,S,West Virginia,5-10,205,4.57,,,,,,Oakland Raiders,1,14,2016
Matt Judon,DE,Grand Valley State,6-3,275,4.73,35.0,30,109,7.67,4.52,Baltimore Ravens,5,146,2016
Ufomba Kamalu,DE,Miami (FL),6-5,295,5.01,25.0,26,106,7.32,4.58,,,,
Drew Kaser,P,Texas A&M,6-2,212,4.95,,,,,,San Diego Chargers,6,179,2016
Nila Kasitati,OG,Oklahoma,6-3,317,5.32,27.5,12,107,8.30,4.83,,,,
Bronson Kaufusi,DE,BYU,6-6,285,4.87,30.0,25,111,7.03,4.25,Baltimore Ravens,3,70,2016
Jayron Kearse,S,Clemson,6-4,216,4.62,31.5,16,124,7.06,,Minnesota Vikings,7,244,2016
Ryan Kelly,C,Alabama,6-4,311,5.03,30.0,26,103,7.58,4.59,Indianapolis Colts,1,18,2016
Cody Kessler,QB,USC,6-1,220,4.89,29.5,,104,7.32,4.00,Cleveland Browns,3,93,2016
Miles Killebrew,S,Southern Utah,6-2,217,4.65,38.0,22,127,6.93,4.18,Detroit Lions,4,111,2016
Derrick Kindred,S,TCU,5-10,207,4.50,37.5,,123,7.05,4.29,Cleveland Browns,4,129,2016
Raphael Kirby,ILB,Miami (FL),6-0,236,4.72,,27,,,,,,,
Denver Kirkland,OT,Arkansas,6-4,335,5.55,22.5,19,94,8.72,5.06,,,,
Marshall Koehn,K,Iowa,6-1,197,4.61,,,,,,,,,
Nick Kwiatkoski,ILB,West Virginia,6-2,243,4.73,32.0,19,120,7.16,4.22,Chicago Bears,4,113,2016
Jimmy Landes,LS,Baylor,6-1,240,4.95,27.5,,110,7.05,4.38,Detroit Lions,6,210,2016
Daniel Lasco,RB,California,6-0,209,4.46,41.5,23,135,7.22,4.26,New Orleans Saints,7,237,2016
Darius Latham,DT,Indiana,6-4,311,5.32,29.0,,100,7.76,4.63,,,,
Kenny Lawler,WR,California,6-2,203,4.64,31.0,,111,7.13,4.20,Seattle Seahawks,7,243,2016
Nile Lawrence-Stample,DL,Florida State,6-1,320,5.24,,,,,,,,,
Shaq Lawson,DE,Clemson,6-3,269,4.70,33.0,,120,7.16,4.21,Buffalo Bills,1,19,2016
Darron Lee,OLB,Ohio State,6-1,232,4.47,35.5,17,133,7.12,4.20,New York Jets,1,20,2016
Alex Lewis,OT,Nebraska,6-6,312,5.22,29.5,27,100,7.94,4.72,Baltimore Ravens,4,130,2016
Roger Lewis,WR,Bowling Green,6-0,201,4.57,33.5,8,116,,,,,,
Kolby Listenbee,WR,TCU,6-0,197,4.39,35.5,15,129,,,Buffalo Bills,6,192,2016
Cory Littleton,OLB,Washington,6-3,238,4.73,29.5,,114,7.11,4.32,,,,
Jordan Lomax,S,Iowa,5-10,202,4.75,36.0,8,120,7.18,4.15,,,,
Steve Longa,ILB,Rutgers,6-1,241,4.78,32.0,19,116,7.50,4.56,,,,
Ricardo Louis,WR,Auburn,6-2,215,4.43,38.0,18,132,,,Cleveland Browns,4,114,2016
Dean Lowry,DE,Northwestern,6-6,296,4.87,32.5,30,114,7.26,4.38,Green Bay Packers,4,137,2016
Jordan Lucas,S,Penn State,6-0,201,4.54,,,,,,Miami Dolphins,6,204,2016
John Lunsford,K,Liberty,6-1,214,4.74,,,,,,,,,
Paxton Lynch,QB,Memphis,6-7,244,4.86,36.0,,118,7.14,4.26,Denver Broncos,1,26,2016
Tre Madden,RB,USC,6-0,223,4.53,,24,,,,,,,
Luther Maddy,DT,Virginia Tech,6-0,287,4.96,,29,,,,,,,
Curt Maggitt,OLB,Tennessee,6-3,247,4.73,,,,,,,,,
Ryan Malleck,TE,Virginia Tech,6-4,247,4.77,34.5,18,121,7.00,4.33,,,,
Byron Marshall,WR,Oregon,5-9,201,4.42,,17,,,,,,,
Jalin Marshall,WR,Ohio State,5-10,200,4.60,37.5,16,125,6.80,4.13,,,,
Keith Marshall,RB,Georgia,5-11,219,4.31,30.5,25,,,,Washington Redskins,7,242,2016
Nick Martin,C,Notre Dame,6-4,299,5.22,28.0,28,97,7.57,4.72,Houston Texans,2,50,2016
Blake Martinez,ILB,Stanford,6-2,237,4.71,28.5,22,113,6.98,4.20,Green Bay Packers,4,131,2016
Tyler Marz,OT,Wisconsin,6-7,316,5.54,27.5,19,99,8.38,4.97,,,,
Tyler Matakevich,OLB,Temple,6-0,238,4.81,31.0,22,112,7.19,4.50,Pittsburgh Steelers,7,246,2016
Chris Mayes,DL,Georgia,6-3,338,5.34,23.5,33,104,,5.13,,,,
Alex McCalister,DE,Florida,6-6,239,4.80,34.5,,128,7.01,4.00,Philadelphia Eagles,7,240,2016
Jake McGee,TE,Florida,6-5,250,4.83,,17,,,,,,,
Connor McGovern,OG,Missouri,6-4,306,5.11,33.0,33,109,7.50,4.65,Denver Broncos,5,144,2016
Mekale McKay,WR,Cincinnati,6-4,207,4.55,35.0,12,123,7.08,4.63,,,,
Cassanova McKinzy,ILB,Auburn,6-1,248,4.83,,21,,,,,,,
Braxton Miller,WR,Ohio State,6-1,201,4.50,35.0,17,123,6.65,4.07,Houston Texans,3,85,2016
Harlan Miller,CB,SE Louisiana,6-0,182,4.65,35.5,6,118,7.44,4.43,Arizona Cardinals,6,205,2016
Jalen Mills,S,LSU,6-0,191,4.61,37.0,16,123,6.86,4.00,Philadelphia Eagles,7,233,2016
Malcolm Mitchell,WR,Georgia,6-0,198,4.45,36.0,15,129,6.94,4.34,New England Patriots,4,112,2016
Will Monday,P,Duke,6-4,212,5.10,,,,,,,,,
Chris Moore,WR,Cincinnati,6-1,206,4.53,37.0,10,130,6.76,4.20,Baltimore Ravens,4,107,2016
David Morgan,TE,Texas-San Antonio,6-4,262,,,,,,,Minnesota Vikings,6,188,2016
Antonio Morrison,ILB,Florida,6-1,232,4.76,,,,,,Indianapolis Colts,4,125,2016
Kyle Murphy,OT,Stanford,6-6,305,5.19,,23,,,,Green Bay Packers,6,200,2016
Eric Murray,CB,Minnesota,5-11,199,4.49,39.5,15,124,7.08,4.05,Kansas City Chiefs,4,106,2016
Carl Nassib,DE,Penn State,6-7,277,4.84,28.5,21,114,7.27,4.37,Cleveland Browns,3,65,2016
Keanu Neal,S,Florida,6-0,211,4.62,38.0,17,132,7.09,4.38,Atlanta Falcons,1,17,2016
Stephane Nembot,OT,Colorado,6-7,322,5.39,26.5,32,103,8.55,5.15,,,,
Giorgio Newberry,DE,Florida State,6-5,285,4.94,30.0,20,114,7.53,4.78,,,,
Yannick Ngakoue,DE,Maryland,6-2,252,4.75,34.5,26,118,7.35,4.50,Jacksonville Jaguars,3,69,2016
Dadi Nicolas,DE,Virginia Tech,6-3,235,4.74,41.0,14,116,7.04,4.38,Kansas City Chiefs,6,203,2016
Robert Nkemdiche,DT,Mississippi,6-3,294,4.87,35.0,28,116,,,Arizona Cardinals,1,29,2016
Jared Norris,ILB,Utah,6-1,241,4.80,29.5,19,114,,4.52,,,,
Marquez North,WR,Tennessee,6-2,223,4.48,35.0,17,123,6.90,4.13,,,,
Nick O'Toole,P,West Virginia,6-3,219,5.05,,,,,,,,,
Shawn Oakman,DE,Baylor,6-8,287,4.96,32.0,23,123,7.53,4.56,,,,
Jaden Oberkrom,K,TCU,6-2,186,4.96,,,,,,,,,
Victor Ochi,DE,Stony Brook,6-1,246,4.86,32.0,,119,7.24,4.40,,,,
Rees Odhiambo,OT,Boise State,6-4,314,5.17,,23,,,,Seattle Seahawks,3,97,2016
Emmanuel Ogbah,DE,Oklahoma State,6-4,273,4.63,35.5,20,121,7.26,4.50,Cleveland Browns,2,32,2016
Romeo Okwara,DE,Notre Dame,6-5,265,4.90,33.0,23,120,7.38,4.53,,,,
Drew Ott,DE,Iowa,6-4,273,4.88,,,,,,,,,
Montese Overton,OLB,East Carolina,6-2,223,4.61,34.0,18,123,7.15,4.47,,,,
Gionni Paul,ILB,Utah,5-10,231,5.05,31.0,22,113,,,,,,
Jordan Payton,WR,UCLA,6-1,207,4.47,34.5,,121,7.08,4.33,Cleveland Browns,5,154,2016
Charone Peake,WR,Clemson,6-2,209,4.45,35.5,12,122,6.96,4.46,New York Jets,7,241,2016
Paul Perkins,RB,UCLA,5-10,208,4.54,32.0,19,124,,,New York Giants,5,149,2016
Joshua Perry,ILB,Ohio State,6-4,254,4.68,33.5,20,124,,,San Diego Chargers,4,102,2016
Kevin Peterson,CB,Oklahoma State,5-10,181,4.58,35.5,14,121,6.94,4.31,,,,
D.J. Pettway,DE,Alabama,6-2,265,4.99,28.0,17,108,7.74,4.69,,,,
Tyvis Powell,S,Ohio State,6-3,211,4.46,34.5,15,120,7.03,4.25,,,,
Dak Prescott,QB,Mississippi State,6-2,226,4.79,32.5,,116,7.11,4.32,Dallas Cowboys,4,135,2016
C.J. Prosise,RB,Notre Dame,6-0,220,4.48,35.5,,121,,,Seattle Seahawks,3,90,2016
Jimmy Pruitt,CB,San Jose State,6-0,198,4.73,32.0,19,117,,,,,,
Reggie Ragland,ILB,Alabama,6-1,247,4.72,31.5,,116,,4.28,Buffalo Bills,2,41,2016
Jalen Ramsey,CB,Florida State,6-1,209,4.41,41.5,14,135,6.94,4.18,Jacksonville Jaguars,1,5,2016
Sheldon Rankins,DT,Louisville,6-1,299,5.03,34.5,28,118,7.44,4.59,New Orleans Saints,1,12,2016
D.J. Reader,DT,Clemson,6-3,327,5.33,29.5,30,99,7.90,4.71,Houston Texans,5,166,2016
Alex Redmond,OG,UCLA,6-5,294,5.30,28.0,30,111,7.75,4.90,,,,
Will Redmond,CB,Mississippi State,5-11,182,4.45,,,,,,San Francisco 49ers,3,68,2016
Jarran Reed,DT,Alabama,6-3,307,5.21,31.0,,104,7.77,4.75,Seattle Seahawks,2,49,2016
Hassan Ridgeway,DT,Texas,6-3,303,5.02,32.0,24,113,8.28,4.82,Indianapolis Colts,4,116,2016
Dominique Robertson,OT,West Georgia,6-5,324,5.36,28.5,30,100,8.42,4.83,,,,
A'Shawn Robinson,DT,Alabama,6-4,307,5.20,26.0,22,106,7.80,4.74,Detroit Lions,2,46,2016
Demarcus Robinson,WR,Florida,6-1,203,4.59,34.5,,123,6.77,4.19,Kansas City Chiefs,4,126,2016
Rashard Robinson,CB,Louisiana St,6-1,171,4.49,35.5,,121,,,San Francisco 49ers,4,133,2016
Alonzo Russell,WR,Toledo,6-4,206,4.54,29.5,12,112,7.18,4.33,,,,
Keivarae Russell,CB,Notre Dame,5-11,192,4.49,,17,,,,Kansas City Chiefs,3,74,2016
Zack Sanchez,CB,Oklahoma,5-11,185,4.50,35.5,19,116,,,Carolina Panthers,5,141,2016
Beau Sandland,TE,Montana State,6-4,253,4.74,35.0,23,124,7.10,4.33,Carolina Panthers,7,252,2016
Joe Schobert,OLB,Wisconsin,6-1,244,4.76,33.5,22,111,7.11,4.30,Cleveland Browns,4,99,2016
Rashawn Scott,WR,Miami (FL),6-1,199,4.54,32.5,17,116,,,,,,
Isaac Seumalo,OG,Oregon State,6-4,303,5.19,26.0,,105,7.40,4.52,Philadelphia Eagles,3,79,2016
