player,position,school,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,tm,rnd,pick,yr
Mehdi Abdesmad,DE,Boston Col.,6-6,284,5.10,29.5,25,108,7.55,4.62,,,,
Vernon Adams,QB,Oregon,5-11,200,4.83,29.5,,114,6.82,4.20,,,,
Jerell Adams,TE,South Carolina,6-5,247,4.64,32.5,,117,7.05,4.31,New York Giants,6,184,2016
Bralon Addison,WR,Oregon,5-9,197,4.66,34.5,13,116,6.95,4.14,,,,
Roberto Aguayo,K,Florida State,6-0,207,4.96,,,,,,Tampa Bay Buccaneers,2,59,2016
Dominique Alexander,ILB,Oklahoma,6-0,232,4.64,28.5,17,104,,,,,,
Mackensie Alexander,CB,Clemson,5-10,190,4.43,,11,,,,Minnesota Vikings,2,54,2016
Vadal Alexander,OT,LSU,6-5,326,5.57,24.0,25,95,8.04,4.90,Oakland Raiders,7,234,2016
Brandon Allen,QB,Arkansas,6-1,217,4.84,28.0,,110,7.06,4.33,Jacksonville Jaguars,6,201,2016
Jack Allen,C,Michigan State,6-1,294,5.29,26.5,23,101,7.90,4.73,,,,
Geronimo Allison,WR,Illinois,6-3,196,4.67,33.0,,127,7.40,4.28,,,,
Stephen Anderson,TE,California,6-2,230,4.59,38.0,16,119,,,,,,
Eli Apple,CB,Ohio State,6-1,199,4.40,,13,,,,New York Giants,1,10,2016
Demarcus Ayers,WR,Houston,5-9,182,4.72,33.0,,123,,,Pittsburgh Steelers,7,229,2016
Sterling Bailey,DE,Georgia,6-4,285,5.23,30.0,20,111,7.46,4.73,,,,
Peyton Barber,RB,Auburn,5-10,228,4.64,32.5,20,111,7.00,4.21,,,,
Jimmy Bean,DE,Oklahoma State,6-5,264,4.87,,20,,,,,,,
Willie Beavers,OT,West. Michigan,6-5,321,5.28,25.5,20,103,7.96,4.71,Minnesota Vikings,4,121,2016
Vonn Bell,S,Ohio State,5-11,199,4.52,,16,,,,New Orleans Saints,2,61,2016
Caleb Benenoch,OT,UCLA,6-5,311,4.98,28.0,,104,8.15,5.11,Tampa Bay Buccaneers,5,148,2016
Andrew Billings,DT,Baylor,6-1,311,5.05,27.5,31,113,8.05,4.82,Cincinnati Bengals,4,122,2016
Ronald Blair,DE,Appalachian State,6-2,284,5.15,30.0,32,113,7.95,4.53,San Francisco 49ers,5,142,2016
Austin Blythe,C,Iowa,6-2,298,5.36,27.5,29,99,7.52,4.53,Indianapolis Colts,7,248,2016
Briean Boddy-Calhoun,CB,Minnesota,5-9,193,4.47,35.0,10,123,7.16,4.22,,,,
Evan Boehm,C,Missouri,6-2,302,5.33,28.5,24,96,7.52,4.69,Arizona Cardinals,4,128,2016
Devante Bond,OLB,Oklahoma,6-1,235,4.70,37.5,21,121,7.07,4.36,Tampa Bay Buccaneers,6,183,2016
Devontae Booker,RB,Utah,5-11,219,4.56,,22,,,,Denver Broncos,4,136,2016
Joey Bosa,DE,Ohio State,6-5,269,4.86,32.0,24,120,6.89,4.21,San Diego Chargers,1,3,2016
Tyler Boyd,WR,Pittsburgh,6-1,197,4.58,34.0,11,119,6.90,4.35,Cincinnati Bengals,2,55,2016
Trevone Boykin,QB,TCU,6-0,212,4.77,32.0,,110,,4.40,,,,
James Bradberry,CB,Samford,6-1,211,4.50,36.0,16,124,6.91,4.21,Carolina Panthers,2,62,2016
Ben Braunecker,TE,Harvard,6-3,250,4.73,35.5,20,121,6.90,4.20,,,,
Jake Brendel,C,UCLA,6-3,303,5.01,28.0,25,108,7.31,4.27,,,,
Jacoby Brissett,QB,North Carolina State,6-4,231,4.94,31.0,,113,7.17,4.53,New England Patriots,3,91,2016
Kentrell Brothers,OLB,Missouri,6-0,245,4.89,28.5,19,110,6.99,4.11,Minnesota Vikings,5,160,2016
Anthony Brown,CB,Purdue,5-11,192,4.33,35.0,19,115,7.03,4.19,Dallas Cowboys,6,189,2016
Beniquez Brown,OLB,Mississippi State,6-1,229,4.77,31.0,18,110,7.07,4.28,,,,
Chris Brown,WR,Notre Dame,6-2,194,4.48,,,,,,,,,
Lamarcus Brutus,S,Florida State,6-0,206,4.76,33.0,14,114,7.08,4.33,,,,
Deforest Buckner,DE,Oregon,6-7,291,5.05,32.0,,116,7.51,4.47,San Francisco 49ers,1,7,2016
Jonathan Bullard,DE,Florida,6-3,285,4.93,32.0,23,116,7.31,4.56,Chicago Bears,3,72,2016
Aaron Burbridge,WR,Michigan State,6-0,206,4.56,30.5,20,115,7.22,4.31,San Francisco 49ers,6,213,2016
Artie Burns,CB,Miami (FL),6-0,193,4.46,31.5,,,,,Pittsburgh Steelers,1,25,2016
Juston Burris,CB,North Carolina State,6-0,212,4.53,36.5,19,122,7.10,4.40,New York Jets,4,118,2016
Deon Bush,S,Miami (FL),6-0,199,4.64,36.0,17,123,,,Chicago Bears,4,124,2016
