player,position,school,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,tm,rnd,pick,yr
Cal Adomitis,LS,Pittsburgh,6-2,235,4.97,29.5,18,107,7.53,4.62,,,,
Austin Allen,TE,Nebraska,6-8,253,4.83,34.0,,121,7.00,4.26,,,,
Chase Allen,TE,Iowa St.,6-6,251,,33.5,,117,7.03,4.43,,,,
Christopher Allen,EDGE,Alabama,6-4,241,,,,,,,,,,
Tyler Allgeier,RB,BYU,5-11,224,4.60,33.0,,120,,,Atlanta Falcons,5,151,2022
Troy Andersen,LB,Montana St.,6-4,243,4.42,36.0,,128,,,Atlanta Falcons,2,58,2022
Tycen Anderson,S,Toledo,6-2,209,4.36,35.5,,123,6.64,4.28,Cincinnati Bengals,5,166,2022
Blaise Andries,OG,Minnesota,6-6,308,5.10,30.5,,106,7.84,4.68,,,,
Matt Araiza,P,San Diego St.,6-1,200,4.68,32.0,,121,,,Buffalo Bills,6,180,2022
Jalyn Armour-Davis,CB,Alabama,6-1,197,4.39,34.5,14,,,,Baltimore Ravens,4,119,2022
Brian Asamoah,LB,Oklahoma,6-0,226,4.56,36.5,,124,,,Minnesota Vikings,3,66,2022
Calvin Austin,WR,Memphis,5-8,170,4.32,39.0,,135,6.65,4.07,Pittsburgh Steelers,4,138,2022
Tyler Badie,RB,Missouri,5-8,197,4.45,33.5,,121,,,Baltimore Ravens,6,196,2022
Kalon Barnes,CB,Baylor,6-0,183,4.23,,,,,,Carolina Panthers,7,242,2022
Amar̩ Barno,EDGE,Virginia Tech,6-5,246,4.36,37.0,,131,,4.45,Carolina Panthers,6,189,2022
Darrian Beavers,LB,Cincinnati,6-4,237,,36.5,,125,6.91,,New York Giants,6,182,2022
Markquese Bell,S,Florida A&M,6-2,212,4.41,36.5,,123,,4.46,,,,
David Bell,WR,Purdue,6-1,212,4.65,33.0,,118,7.14,4.57,Cleveland Browns,3,99,2022
Greg Bell,RB,San Diego St.,5-11,201,,31.0,17,120,,,,,,
Daniel Bellinger,TE,San Diego St.,6-5,253,4.63,34.5,22,125,7.05,4.47,New York Giants,4,112,2022
Dane Belton,S,Iowa,6-1,205,4.43,36.5,,123,7.01,4.24,New York Giants,4,114,2022
Terrel Bernard,LB,Baylor,6-1,224,,35.5,22,123,7.03,4.25,Buffalo Bills,3,89,2022
Bubba Bolden,S,Miami,6-2,209,4.47,,,116,,,,,,
Slade Bolden,WR,Alabama,5-11,193,4.66,32.0,,116,,,,,,
Nik Bonitto,EDGE,Oklahoma,6-3,248,4.54,35.5,,120,7.07,4.23,Denver Broncos,2,64,2022
Thomas Booker,DT,Stanford,6-3,301,4.94,,,110,7.33,4.41,Houston Texans,5,150,2022
Andrew Booth,CB,Clemson,6-0,194,,,,,,,Minnesota Vikings,2,42,2022
Max Borghi,RB,Washington St.,5-9,210,,,20,,,,,,,
Jaquan Brisker,S,Penn St.,6-1,199,4.49,34.5,22,124,,,Chicago Bears,2,48,2022
Gabe Brkic,K,Oklahoma,6-2,197,,,,,,,,,,
Kennedy Brooks,RB,Oklahoma,5-11,209,4.59,31.0,,120,,,,,,
Ben Brown,C,Mississippi,6-5,312,,,,,,,,,,
Leddie Brown,RB,West Virginia,6-0,213,4.64,30.0,,118,,,,,,
Montaric Brown,CB,Arkansas,6-0,196,4.55,,,,,,Jacksonville Jaguars,7,222,2022
Logan Bruss,OG,Wisconsin,6-5,309,5.32,31.0,,112,7.57,4.55,Los Angeles Rams,3,104,2022
Coby Bryant,CB,Cincinnati,6-1,193,4.54,,17,,,,Seattle Seahawks,4,109,2022
Spencer Burford,OG,Texas-San Antonio,6-4,304,5.19,27.5,,105,,4.73,San Francisco 49ers,4,134,2022
Treylon Burks,WR,Arkansas,6-2,225,4.55,33.0,,122,7.28,,Tennessee Titans,1,18,2022
Darien Butler,LB,Arizona St.,5-10,221,,,,,7.47,,,,,
Matthew Butler,DT,Tennessee,6-4,297,5.00,32.0,17,112,7.89,4.81,Las Vegas Raiders,5,175,2022
Percy Butler,S,Louisiana,6-0,194,4.36,31.5,,123,,,Washington Commanders,4,113,2022
Grant Calcaterra,TE,SMU,6-4,241,4.62,,20,,,,Philadelphia Eagles,6,198,2022
Jake Camarda,P,Georgia,6-1,193,4.56,,,,,,Tampa Bay Buccaneers,4,133,2022
Chance Campbell,LB,Mississippi,6-2,232,4.57,39.5,,127,,,Tennessee Titans,6,219,2022
Ja'Tyre Carter,OG,Southern,6-3,311,5.13,30.0,,108,7.84,4.90,Chicago Bears,7,226,2022
Zachary Carter,DE,Florida,6-4,282,4.99,27.5,19,110,,,Cincinnati Bengals,3,95,2022
Tariq Castro-Fields,CB,Penn St.,6-1,197,4.38,,,,,,San Francisco 49ers,6,221,2022
Tykevious Chandler,RB,North Carolina,5-11,204,4.38,31.0,,121,,,Minnesota Vikings,5,169,2022
Leo Chenal,LB,Wisconsin,6-3,250,4.53,40.5,,128,,,Kansas City Chiefs,3,103,2022
Lewis Cine,S,Georgia,6-2,199,4.37,36.5,,133,,,Minnesota Vikings,1,32,2022
Damone Clark,LB,LSU,6-3,239,4.57,36.5,,127,7.12,,Dallas Cowboys,5,176,2022
Micheal Clemons,DE,Texas A&M,6-5,263,,,24,116,,,New York Jets,4,117,2022
Jack Coan,QB,Notre Dame,6-3,218,4.90,33.0,,115,6.95,4.39,,,,
Qwynnterrio Cole,S,Louisville,6-0,206,,,16,,,,,,,
Snoop Conner,RB,Mississippi,5-10,222,4.59,29.5,25,118,,,Jacksonville Jaguars,5,154,2022
Bryan Cook,S,Cincinnati,6-1,206,,,,,,,Kansas City Chiefs,2,62,2022
James Cook,RB,Georgia,5-11,199,4.42,33.0,,124,,,Buffalo Bills,2,63,2022
Jashaun Corbin,RB,Florida St.,5-11,202,,,,,,,,,,
Yusuf Corker,S,Kentucky,6-0,203,,,23,,,,,,,
Matt Corral,QB,Mississippi,6-2,212,,,,,,,Carolina Panthers,3,94,2022
Charles Cross,OT,Mississippi St.,6-5,307,4.95,26.0,,112,7.88,4.61,Seattle Seahawks,1,9,2022
Nick Cross,S,Maryland,6-0,212,4.34,37.0,,130,,,Indianapolis Colts,3,96,2022
