player,position,school,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,tm,rnd,pick,yr
Dustin Crum,QB,Kent St.,6-1,210,4.75,32.5,,120,,4.36,,,,
Myron Cunningham,OT,Arkansas,6-5,320,5.38,20.0,,98,8.50,5.16,,,,
DJ Davidson,DT,Arizona St.,6-3,327,,28.0,23,,7.85,4.72,New York Giants,5,147,2022
Jordan Davis,DT,Georgia,6-6,341,4.78,32.0,,123,,,Philadelphia Eagles,1,13,2022
Kalia Davis,DT,Central Florida,6-1,302,,,,,,,San Francisco 49ers,6,220,2022
Tyrion Davis-Price,RB,LSU,6-0,211,4.48,30.0,,117,,,San Francisco 49ers,3,93,2022
Nakobe Dean,LB,Georgia,5-11,229,,,,,,,Philadelphia Eagles,3,83,2022
Dawson Deaton,C,Texas Tech,6-6,306,5.12,29.0,24,108,7.52,4.49,Cleveland Browns,7,246,2022
Austin Deculus,OT,LSU,6-5,321,5.08,28.5,,109,,4.99,Houston Texans,6,205,2022
Cameron Dicker,K,Texas,6-1,220,,,,,,,,,,
Kellen Diesch,OT,Arizona St.,6-7,301,4.89,32.5,,110,7.77,4.43,,,,
Dai'Jean Dixon,WR,Nicholls St.,6-3,205,4.62,34.0,,125,7.28,4.42,,,,
JoJo Domann,LB,Nebraska,6-1,228,4.62,34.5,,119,,,,,,
Jahan Dotson,WR,Penn St.,5-11,178,4.43,36.0,,121,7.28,,Washington Commanders,1,16,2022
Romeo Doubs,WR,Nevada,6-2,201,,,,,,,Green Bay Packers,4,132,2022
Dontario Drummond,WR,Mississippi,6-1,215,4.65,34.0,,122,,,,,,
Greg Dulcich,TE,UCLA,6-4,243,4.69,34.0,16,122,7.05,4.37,Denver Broncos,3,80,2022
William Dunkle,OG,San Diego St.,6-5,328,5.44,26.0,25,95,7.97,4.91,,,,
Cobie Durant,CB,South Carolina St.,5-10,180,4.38,,,,,,Los Angeles Rams,4,142,2022
Jerrion Ealy,RB,Mississippi,5-8,189,4.52,34.5,,128,,,,,,
Arnold Ebiketie,EDGE,Penn St.,6-2,250,,38.0,21,128,,,Atlanta Falcons,2,38,2022
Trestan Ebner,RB,Baylor,5-11,206,4.43,30.0,,,,,Chicago Bears,6,203,2022
Ikem Ekwonu,OT,North Carolina St.,6-4,310,4.93,29.0,,108,7.82,4.73,Carolina Panthers,1,6,2022
Kaiir Elam,CB,Florida,6-2,191,4.39,,,,,,Buffalo Bills,1,23,2022
Kaleb Eleby,QB,Western Michigan,6-1,208,,25.5,,111,7.57,,,,,
Noah Elliss,DT,Idaho,6-4,346,5.66,,,,,,,,,
Martin Emerson,CB,Mississippi St.,6-2,201,4.53,,,,,,Cleveland Browns,3,68,2022
Kingsley Enagbare,DE,South Carolina,6-4,258,4.87,36.5,,117,,,Green Bay Packers,5,179,2022
Akayleb Evans,CB,Missouri,6-2,197,4.46,36.0,,129,,,Minnesota Vikings,4,118,2022
Obinna Eze,OT,TCU,6-7,321,5.17,27.5,18,104,8.20,5.08,,,,
Joshua Ezeudu,OG,North Carolina,6-4,308,5.19,28.5,,105,7.83,4.56,New York Giants,3,67,2022
Erik Ezukanma,WR,Texas Tech,6-2,209,,36.5,,126,,4.38,Miami Dolphins,4,125,2022
Daniel Faalele,OT,Minnesota,6-8,384,,,24,,,,Baltimore Ravens,4,110,2022
Neil Farrell,DT,LSU,6-4,330,5.41,21.5,,,8.41,,Las Vegas Raiders,4,126,2022
Jake Ferguson,TE,Wisconsin,6-5,250,4.81,31.5,15,118,7.03,4.48,Dallas Cowboys,4,129,2022
DaMarcus Fields,CB,Texas Tech,6-0,193,4.48,34.5,,,,,,,,
Cordale Flott,CB,LSU,6-1,175,,,,,,,New York Giants,3,81,2022
Jerome Ford,RB,Cincinnati,5-11,210,4.46,31.0,,118,,,Cleveland Browns,5,156,2022
Jonathan Ford,DT,Miami,6-5,333,,29.0,,102,,,Green Bay Packers,7,234,2022
Luke Fortner,C,Kentucky,6-4,307,5.21,24.0,,102,7.75,4.95,Jacksonville Jaguars,3,65,2022
Ty Fryfogle,WR,Indiana,6-1,204,4.53,39.0,,127,,,,,,
Ahmad Gardner,CB,Cincinnati,6-3,190,4.41,,,,,,New York Jets,1,4,2022
Haskell Garrett,DT,Ohio St.,6-2,300,5.07,24.0,,,,,,,,
Jeremiah Gemmel,LB,North Carolina,6-1,226,,,,,,,,,,
Trenton Gill,P,North Carolina St.,6-4,220,,,,,,,Chicago Bears,7,255,2022
Luke Goedeke,OG,Central Michigan,6-5,312,,,26,,,,Tampa Bay Buccaneers,2,57,2022
Mario Goodrich,CB,Clemson,6-0,176,4.52,,,,,,,,,
Tyler Goodson,RB,Iowa,5-9,197,4.42,36.5,,123,,,,,,
Kyler Gordon,CB,Washington,6-0,194,4.52,,,,,,Chicago Bears,2,39,2022
Isaiah Graham-Mobley,LB,Boston Col.,6-1,230,4.63,34.5,,124,,,,,,
Danny Gray,WR,SMU,6-0,186,4.33,34.0,,126,,,San Francisco 49ers,3,105,2022
Vincent Gray,CB,Michigan,6-2,192,4.54,,,,,,,,,
Kenyon Green,OG,Texas A&M,6-4,323,5.24,26.0,20,102,,5.12,Houston Texans,1,15,2022
Jeffrey Gunter,EDGE,Coastal Carolina,6-4,258,4.70,35.5,,122,7.21,4.35,Cincinnati Bengals,7,252,2022
Breece Hall,RB,Iowa St.,5-11,217,4.39,40.0,,126,,,New York Jets,2,36,2022
Jeremiah Hall,TE,Oklahoma,6-2,239,4.96,29.0,19,111,7.43,4.62,,,,
Logan Hall,DE,Houston,6-6,283,4.88,30.0,,,7.25,4.44,Tampa Bay Buccaneers,2,33,2022
Kyle Hamilton,S,Notre Dame,6-4,220,4.59,38.0,,131,6.90,4.32,Baltimore Ravens,1,14,2022
Jake Hansen,LB,Illinois,6-1,238,,,21,,,,,,,
Aaron Hansford,LB,Texas A&M,6-2,239,,,24,,,,,,,
Christian Harris,LB,Alabama,6-1,226,4.44,34.5,,132,,,Houston Texans,3,75,2022
Kevin Harris,RB,South Carolina,5-10,221,,38.5,21,126,,,New England Patriots,6,183,2022
Kolby Harvell-Peel,S,Oklahoma St.,6-0,213,,,21,,,,,,,
Hassan Haskins,RB,Michigan,6-2,228,,,27,,,,Tennessee Titans,4,131,2022
Blake Hayes,P,Illinois,6-4,226,,,,,,,,,,
Marquis Hayes,OG,Oklahoma,6-5,318,5.30,23.5,,102,,,Arizona Cardinals,7,257,2022
Peyton Hendershot,TE,Indiana,6-4,250,4.80,32.5,,117,,4.25,,,,
Connor Heyward,TE,Michigan St.,5-11,233,4.72,32.5,,,,,Pittsburgh Steelers,6,208,2022
Daxton Hill,S,Michigan,6-0,191,4.38,33.5,,121,6.57,4.06,Cincinnati Bengals,1,31,2022
Chasen Hines,C,LSU,6-3,327,5.22,30.5,,108,,,New England Patriots,6,210,2022
Christopher Hinton,DT,Michigan,6-4,305,5.28,31.5,,106,,,,,,
Curtis Hodges,TE,Arizona St.,6-8,257,4.85,34.5,,117,7.14,4.28,,,,
Sam Howell,QB,North Carolina,6-1,218,,,,,,,Washington Commanders,5,144,2022
Aidan Hutchinson,DE,Michigan,6-7,260,4.74,36.0,,117,6.73,4.15,Detroit Lions,1,2,2022
Jermaine Johnson II,DE,Florida St.,6-5,254,4.58,32.0,,125,,,New York Jets,1,26,2022
Johnny Johnson III,WR,Oregon,6-0,197,4.60,32.0,,121,7.21,4.54,,,,
Verone McKinley III,S,Oregon,5-10,198,,35.0,16,120,,,,,,
Ed Ingram,OG,LSU,6-3,307,5.02,20.5,,102,7.81,4.76,Minnesota Vikings,2,59,2022
Keaontay Ingram,RB,USC,6-0,221,4.53,34.5,,122,,,Arizona Cardinals,6,201,2022
D'Marco Jackson,LB,Appalachian St.,6-1,233,4.55,33.0,,125,,,New Orleans Saints,5,161,2022
Drake Jackson,EDGE,USC,6-3,254,,36.5,,127,,,San Francisco 49ers,2,61,2022
Jordan Jackson,DT,Air Force,6-5,294,,,,,,,New Orleans Saints,6,194,2022
Joshua Jobe,CB,Alabama,6-0,182,,,,,,,,,,
Josh Johnson,WR,Tulsa,5-11,183,,,14,,,,,,,
Tyree Johnson,EDGE,Texas A&M,6-3,248,,,21,,,,,,,
Zion Johnson,OG,Boston Col.,6-3,312,5.18,32.0,32,112,7.38,4.46,Los Angeles Chargers,1,17,2022
Braxton Jones,OT,Southern Utah St.,6-5,310,4.97,25.5,,108,,4.84,Chicago Bears,5,168,2022
Jack Jones,CB,Arizona St.,5-11,171,4.51,,,,,,New England Patriots,4,121,2022
Marcus Jones,CB,Houston,5-8,174,,,,,,,New England Patriots,3,85,2022
Travis Jones,DT,Connecticut,6-4,325,4.92,28.5,,110,7.33,4.58,Baltimore Ravens,3,76,2022
Velus Jones,WR,Tennessee,6-0,204,4.31,33.0,,121,,,Chicago Bears,3,71,2022
Kerby Joseph,S,Illinois,6-1,203,,38.5,18,123,,,Detroit Lions,3,97,2022
Kevin Austin Jr.,WR,Notre Dame,6-2,200,4.43,39.0,,132,6.71,4.15,,,,
Reggie Roberson Jr.,WR,SMU,5-11,192,,29.0,,114,,,,,,
Cameron Jurgens,C,Nebraska,6-3,303,4.92,,25,,,,Philadelphia Eagles,2,51,2022
George Karlaftis,EDGE,Purdue,6-4,266,,38.0,21,121,,4.36,Kansas City Chiefs,1,30,2022
Cole Kelley,QB,Southeastern Louisiana,6-7,249,,,,,,,,,,
Derion Kendrick,CB,Georgia,6-0,194,,,,,,,Los Angeles Rams,6,212,2022
D'Eriq King,QB,Miami,5-9,196,,,,,,,,,,
Darian Kinnard,OG,Kentucky,6-5,322,5.31,25.0,,99,8.11,4.96,Kansas City Chiefs,5,145,2022
Zonovan Knight,RB,North Carolina St.,5-11,209,4.58,31.0,,114,,,,,,
Charlie Kolar,TE,Iowa St.,6-7,252,,,,,,,Baltimore Ravens,4,128,2022
Quentin Lake,S,UCLA,6-1,201,4.59,,,,,,Los Angeles Rams,6,211,2022
Nate Landman,LB,Colorado,6-3,238,4.86,36.5,,119,,,,,,
DeMarvin Leal,DT,Texas A&M,6-4,283,5.00,27.5,,106,,4.49,Pittsburgh Steelers,3,84,2022
Isaiah Likely,TE,Coastal Carolina,6-5,245,,36.0,,,,4.57,Baltimore Ravens,4,139,2022
Tyler Linderbaum,C,Iowa,6-2,296,,,,,,,Baltimore Ravens,1,25,2022
Alec Lindstrom,C,Boston Col.,6-3,296,5.18,29.0,25,111,7.50,4.66,,,,
Devin Lloyd,LB,Utah,6-3,237,4.66,35.0,25,126,,,Jacksonville Jaguars,1,27,2022
Drake London,WR,USC,6-4,219,,,,,,,Atlanta Falcons,1,8,2022
Vederian Lowe,OT,Illinois,6-5,314,5.22,25.5,,99,7.83,4.71,Minnesota Vikings,6,184,2022
Abraham Lucas,OT,Washington St.,6-6,315,4.92,27.0,24,107,7.25,4.40,Seattle Seahawks,3,72,2022
Chase Lucas,CB,Arizona St.,5-11,180,4.48,39.0,,128,,,Detroit Lions,7,237,2022
Jesse Luketa,LB,Penn St.,6-3,253,4.89,37.5,,114,,,Arizona Cardinals,7,256,2022
Boye Mafe,EDGE,Minnesota,6-4,261,4.53,38.0,,125,,,Seattle Seahawks,2,40,2022
DeAngelo Malone,EDGE,Western Kentucky,6-3,243,,,23,,,,Atlanta Falcons,3,82,2022
Damarri Mathis,CB,Pittsburgh,5-11,196,4.39,,,,,,Denver Broncos,4,115,2022
Phidarian Mathis,DT,Alabama,6-4,310,,23.5,,109,,4.91,Washington Commanders,2,47,2022
Cade Mays,OG,Tennessee,6-5,311,5.24,26.0,,102,7.57,4.71,Carolina Panthers,6,199,2022
Trey McBride,TE,Colorado St.,6-4,246,,33.0,18,117,,,Arizona Cardinals,2,55,2022
Marquan McCall,DT,Kentucky,6-3,342,,,,,,,,,,
Zakoby McClain,LB,Auburn,5-11,228,4.69,33.0,,117,,,,,,
Zyon McCollum,CB,Sam Houston St.,6-2,199,4.33,39.5,,132,6.48,3.94,Tampa Bay Buccaneers,5,157,2022
Sincere McCormick,RB,Texas-San Antonio,5-9,205,4.60,33.5,,116,,,,,,
Roger McCreary,CB,Auburn,5-11,190,4.50,,,,,,Tennessee Titans,2,35,2022
Trent McDuffie,CB,Washington,5-11,193,4.44,,,,,,Kansas City Chiefs,1,21,2022
Micah McFadden,LB,Indiana,6-1,240,,,21,,,,New York Giants,5,146,2022
Marcus McKethan,OG,North Carolina,6-7,340,5.31,27.5,27,110,7.81,4.99,New York Giants,5,173,2022
Bo Melton,WR,Rutgers,5-11,189,4.34,38.0,,121,6.98,,Seattle Seahawks,7,229,2022
John Metchie,WR,Alabama,5-11,187,,,,,,,Houston Texans,2,44,2022
James Mitchell,TE,Virginia Tech,6-4,249,,,,,,,Detroit Lions,5,177,2022
Max Mitchell,OT,Louisiana,6-6,307,5.32,25.0,,106,8.09,4.65,New York Jets,4,111,2022
Smoke Monday,S,Auburn,6-2,207,4.52,,,124,7.00,,,,,
Jeremiah Moon,LB,Florida,6-5,249,4.76,40.5,,133,7.09,4.55,,,,
Skyy Moore,WR,Western Michigan,5-10,195,4.41,34.5,,125,7.13,4.32,Kansas City Chiefs,2,54,2022
Chad Muma,LB,Wyoming,6-3,239,4.63,40.0,27,129,7.06,4.28,Jacksonville Jaguars,3,70,2022
Thayer Munford,OT,Ohio St.,6-6,328,5.39,22.0,,104,,,Las Vegas Raiders,7,238,2022
Jalen Nailor,WR,Michigan St.,5-11,186,4.50,38.0,,128,7.03,4.28,Minnesota Vikings,6,191,2022
Evan Neal,OT,Alabama,6-8,337,,,,,,,New York Giants,1,7,2022
Leon O'Neal,S,Texas A&M,6-1,204,,35.0,15,125,6.89,,,,,
Otito Ogbonnia,DT,UCLA,6-4,324,,,29,,,,Los Angeles Chargers,5,160,2022
David Ojabo,EDGE,Michigan,6-4,250,4.55,35.0,,122,,4.45,Baltimore Ravens,2,45,2022
Chigoziem Okonkwo,TE,Maryland,6-3,238,4.52,35.5,,,,,Tennessee Titans,4,143,2022
Chris Olave,WR,Ohio St.,6-0,187,4.39,32.0,,124,,,New Orleans Saints,1,11,2022
Esezi Otomewo,DE,Minnesota,6-5,282,,,,,,,Minnesota Vikings,5,165,2022
Cade Otton,TE,Washington,6-5,247,,,,,,,Tampa Bay Buccaneers,4,106,2022
Isiah Pacheco,RB,Rutgers,5-10,216,4.37,33.0,,118,,,Kansas City Chiefs,7,251,2022
Dylan Parham,OG,Memphis,6-3,311,4.93,26.5,,108,7.78,4.70,Las Vegas Raiders,3,90,2022
Joshua Paschal,DE,Kentucky,6-3,268,4.77,37.5,,123,,,Detroit Lions,2,46,2022
Chris Paul,OG,Tulsa,6-4,323,4.89,27.0,,109,7.74,4.83,Washington Commanders,7,230,2022
Jayden Peevy,DT,Texas A&M,6-5,308,5.30,27.0,,100,,,,,,
Trevor Penning,OT,Northern Iowa,6-7,325,4.89,28.0,,111,7.25,4.62,New Orleans Saints,1,19,2022
EJ Perry,QB,Brown,6-2,211,4.65,34.5,,123,6.85,4.18,,,,
Nicholas Petit-Frere,OT,Ohio St.,6-5,316,5.14,24.5,,103,,,Tennessee Titans,3,69,2022
Kyle Philips,WR,UCLA,5-11,189,4.58,33.5,,124,,,Tennessee Titans,5,163,2022
George Pickens,WR,Georgia,6-3,195,4.47,33.0,,125,,,Pittsburgh Steelers,2,52,2022
Kenny Pickett,QB,Pittsburgh,6-3,217,4.73,33.5,,121,,4.29,Pittsburgh Steelers,1,20,2022
Alec Pierce,WR,Cincinnati,6-3,211,4.41,40.5,,129,7.13,4.28,Indianapolis Colts,2,53,2022
Dameon Pierce,RB,Florida,5-10,218,4.59,34.5,21,119,,,Houston Texans,4,107,2022
Jalen Pitre,S,Baylor,5-11,198,,35.0,16,,6.74,4.18,Houston Texans,2,37,2022
Makai Polk,WR,Mississippi St.,6-3,195,4.59,31.0,,119,,4.36,,,,
D'vonte Price,RB,Florida International,6-1,210,4.38,34.0,,119,,,,,,
Brock Purdy,QB,Iowa St.,6-1,212,4.84,27.0,,,7.21,4.45,San Francisco 49ers,7,262,2022
Teagan Quitoriano,TE,Oregon St.,6-6,258,,,22,,,,Houston Texans,5,170,2022
Bernhard Raimann,OT,Central Michigan,6-6,303,5.05,30.5,30,117,7.46,4.49,Indianapolis Colts,3,77,2022
Charleston Rambo,WR,Miami,6-1,177,4.57,33.5,,118,,,,,,
LaBryan Ray,DT,Alabama,6-4,283,,,,,,,,,,
Sean Rhyan,OG,UCLA,6-5,321,5.25,33.5,,110,7.55,4.81,Green Bay Packers,3,92,2022
Desmond Ridder,QB,Cincinnati,6-3,211,4.52,36.0,,127,7.15,4.29,Atlanta Falcons,3,74,2022
John Ridgeway,DT,Arkansas,6-5,321,5.30,,,101,,4.73,Dallas Cowboys,5,178,2022
Ronnie Rivers,RB,Fresno St.,5-8,195,4.60,36.5,,119,,,,,,
Brian Robinson,RB,Alabama,6-2,225,4.53,30.0,,119,,,Washington Commanders,3,98,2022
Dominique Robinson,EDGE,Miami (Ohio),6-5,253,4.72,41.0,25,121,,,Chicago Bears,5,174,2022
Tyrese Robinson,OG,Oklahoma,6-3,317,5.25,22.5,,100,8.35,4.94,,,,
Wan'Dale Robinson,WR,Kentucky,5-8,178,4.44,34.5,,118,,,New York Giants,2,43,2022
Malcolm Rodriguez,LB,Oklahoma St.,5-11,232,4.52,39.5,,120,,,Detroit Lions,6,188,2022
Mike Rose,LB,Iowa St.,6-4,245,,34.0,,121,,,,,,
Dare Rosenthal,OT,Kentucky,6-7,290,4.88,,,,,,,,,
Josh Ross,LB,Michigan,6-0,227,4.79,31.0,,109,,,,,,
Justyn Ross,WR,Clemson,6-4,205,,,11,,,,,,,
Jeremy Ruckert,TE,Ohio St.,6-5,250,,,19,,,,New York Jets,3,101,2022
Andrew Rupcich,OT,Culver-Stockton College,6-6,318,5.31,27.5,,108,,,,,,
Jamaree Salyer,OG,Georgia,6-3,321,,,31,,,,Los Angeles Chargers,6,195,2022
Jack Sanborn,LB,Wisconsin,6-2,234,4.73,34.5,20,114,,,,,,
Braylon Sanders,WR,Mississippi,6-0,194,4.48,34.5,,121,,,,,,
Myjai Sanders,EDGE,Cincinnati,6-5,228,4.67,33.0,,120,,4.37,Arizona Cardinals,3,100,2022
Nephi Sewell,LB,Utah,6-0,226,4.67,32.0,,120,7.01,4.33,,,,
Justin Shaffer,OG,Georgia,6-4,314,5.14,25.5,,107,,,Atlanta Falcons,6,190,2022
Khalil Shakir,WR,Boise St.,6-0,196,4.43,34.5,,124,7.28,4.21,Buffalo Bills,5,148,2022
Abram Smith,RB,Baylor,6-0,213,,,,,,,,,,
Brandon Smith,LB,Penn St.,6-4,250,4.52,37.5,,128,,,Carolina Panthers,4,120,2022
Lecitus Smith,OG,Virginia Tech,6-3,314,5.18,,23,99,7.88,4.78,Arizona Cardinals,6,215,2022
Tyler Smith,OT,Tulsa,6-5,324,5.02,27.5,,105,7.78,4.65,Dallas Cowboys,1,24,2022
Tyreke Smith,EDGE,Ohio St.,6-3,254,4.86,34.0,,117,,,Seattle Seahawks,5,158,2022
Baylon Spector,LB,Clemson,6-0,233,4.60,36.0,,122,,,Buffalo Bills,7,231,2022
Isaiah Spiller,RB,Texas A&M,6-0,217,,30.0,,114,,,Los Angeles Chargers,4,123,2022
Chris Steele,CB,USC,6-0,187,4.48,37.5,,126,,,,,,
Derek Stingley,CB,LSU,6-0,190,,,,,,,Houston Texans,1,3,2022
Jordan Stout,P,Penn St.,6-3,209,4.65,,,,,,Baltimore Ravens,4,130,2022
Cole Strange,OG,Tennessee-Chattanooga,6-5,307,5.03,28.0,31,120,7.44,4.50,New England Patriots,1,29,2022
Carson Strong,QB,Nevada,6-3,226,,,,,,,,,,
Pierre Strong,RB,South Dakota St.,5-11,207,4.37,36.0,,124,,,New England Patriots,4,127,2022
Andrew Stueber,OT,Michigan,6-7,325,,24.5,,101,7.94,4.90,New England Patriots,7,245,2022
Myron Tagovailoa-Amosa,DE,Notre Dame,6-2,270,4.81,29.0,,115,,,,,,
Alontae Taylor,CB,Tennessee,6-0,199,4.36,34.5,,128,,,New Orleans Saints,2,49,2022
Cam Taylor-Britt,CB,Nebraska,5-11,196,4.38,,,,,,Cincinnati Bengals,2,60,2022
Isaac Taylor-Stuart,CB,USC,6-2,201,4.42,,,123,,,,,,
Luke Tenuta,OT,Virginia Tech,6-8,319,5.41,26.0,,104,,4.77,Buffalo Bills,6,209,2022
Kayvon Thibodeaux,EDGE,Oregon,6-4,254,4.58,,27,,,,New York Giants,1,5,2022
Zach Thomas,OG,San Diego St.,6-5,308,4.96,22.5,21,107,7.40,4.65,,,,
Cameron Thomas,DE,San Diego St.,6-4,267,,,24,,,,Arizona Cardinals,3,87,2022
Isaiah Thomas,EDGE,Oklahoma,6-5,266,4.70,31.5,,117,,,Cleveland Browns,7,223,2022
Juanyeh Thomas,S,Georgia Tech,6-1,212,4.55,34.0,17,122,,,,,,
Josh Thompson,CB,Texas,6-0,194,4.40,,,,,,,,,
Skylar Thompson,QB,Kansas St.,6-2,217,4.91,31.0,,112,7.00,4.28,Miami Dolphins,7,247,2022
Tyquan Thornton,WR,Baylor,6-2,181,4.28,36.5,,130,,,New England Patriots,2,50,2022
Channing Tindall,LB,Georgia,6-2,230,4.47,42.0,,129,,,Miami Dolphins,3,102,2022
Jalen Tolbert,WR,South Alabama,6-1,194,4.49,36.0,,123,7.08,,Dallas Cowboys,3,88,2022
Zach Tom,C,Wake Forest,6-4,304,4.94,33.0,,118,7.32,4.47,Green Bay Packers,4,140,2022
Cole Turner,TE,Nevada,6-6,246,4.76,27.0,17,120,7.06,4.41,Washington Commanders,5,149,2022
