,school,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,rnd,pick,completions_total,attempts_total,passing_yards_total,pass_td_total,ints_thrown_total,rush_attempts_total,rush_yards_total,rush_td_total,receptions_total,rec_yards_total,rec_td_total,rush_rec_plays_total,tot_rush_rec_yards,total__rush_rec_tds,college_score_total,completions_avg,attempts_avg,completion_percentage,passing_yards_avg,pass_yards_per_attempt,adjusted_pass_yards_per_attempt,pass_td_avg,ints_thrown_avg,passer_rating,rush_attempts_avg,rush_yards_avg,avg_rush_yards,rush_td_avg,receptions_avg,rec_yards_avg,avg_rec_yards,rec_td_avg,rush_rec_plays_avg,avg_rush_rec_yards,college_score_avg,nfl_score,position_FB,position_QB,position_RB,position_TE,position_WR
358,182.0,180.34,209.0,4.48,26.0,15.0,110.0,7.15,4.22,3.0,70.0,597.0,923.0,14940.0,399.0,0.0,2656.0,5932.0,0.0,34688.0,445797.0,2731.0,37344.0,451729.0,2731.0,4887.5,1.0,1.0,100.0,30.0,30.0,50.0,1.0,0.0,682.0,1.0,3.0,3.0,0.0,6.0,70.0,10.8,0.0,6.0,10.3,13.9,0.0,False,False,False,False,True
359,166.0,198.12,259.0,4.68,34.0,18.0,118.0,7.64,4.53,2.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17059.0,211951.0,1246.0,17059.0,211951.0,1246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,35.0,11.2,0.0,3.0,11.2,0.0,3.6,False,False,False,True,False
360,149.0,182.88,213.0,4.52,33.5,25.0,118.0,6.97,4.24,7.0,238.0,0.0,0.0,0.0,0.0,0.0,72946.0,367848.0,3616.0,16102.0,185011.0,810.0,89048.0,552859.0,4426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,69.0,5.1,0.0,3.0,33.0,9.5,0.0,16.0,6.2,0.0,0.0,False,False,True,False,False
361,58.0,187.96,207.0,4.79,0.0,0.0,0.0,100.0,100.0,6.0,186.0,177485.0,245721.0,2277682.0,22762.0,6527.0,38469.0,96665.0,2662.0,0.0,0.0,0.0,38469.0,96665.0,2662.0,0.0,30.0,41.0,71.8,402.0,9.0,10.6,4.0,1.0,180.8,6.0,13.0,2.1,0.0,0.0,0.0,0.0,0.0,6.0,2.1,0.0,0.0,False,True,False,False,False
362,188.0,187.96,211.0,4.96,28.0,0.0,112.0,7.22,4.19,7.0,223.0,117086.0,194972.0,1402491.0,9605.0,5199.0,30276.0,9616.0,422.0,197.0,788.0,197.0,30473.0,10404.0,619.0,2765.8799999999997,21.0,35.0,59.3,270.0,6.9,6.8,2.0,1.0,125.3,6.0,6.0,0.9,0.0,1.0,4.0,4.0,1.0,6.0,0.9,14.04,0.0,False,True,False,False,False
363,82.0,190.5,230.0,4.81,30.0,0.0,115.0,7.13,4.55,2.0,56.0,103692.0,161064.0,1500459.0,10310.0,3358.0,21489.0,11046.0,903.0,183.0,-1116.0,0.0,21672.0,9930.0,903.0,4576.4400000000005,19.0,30.0,65.1,282.0,8.5,9.4,1.0,0.0,151.4,3.0,-1.0,-0.3,0.0,1.0,-7.0,-7.0,0.0,3.0,-0.3,25.740000000000002,0.0,False,True,False,False,False
364,52.0,172.72,204.0,4.51,36.0,25.0,128.0,7.17,100.0,6.0,172.0,5.0,5.0,45.0,5.0,0.0,50291.0,264333.0,3174.0,4734.0,42646.0,343.0,55025.0,306979.0,3517.0,0.0,1.0,1.0,100.0,9.0,9.0,29.0,1.0,0.0,505.6,11.0,57.0,4.1,0.0,1.0,14.0,9.8,0.0,13.0,4.5,0.0,0.0,False,False,True,False,False
365,75.0,182.88,201.0,4.44,38.5,10.0,125.0,6.77,4.2,4.0,128.0,0.0,0.0,0.0,0.0,0.0,575.0,-429.0,0.0,31216.0,408464.0,4790.0,31791.0,408035.0,4790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-7.0,-7.0,0.0,5.0,65.0,11.7,1.0,5.0,11.7,0.0,1.75,False,False,False,False,True
366,43.0,182.88,204.0,4.35,33.0,0.0,124.0,6.75,4.11,3.0,97.0,442.0,475.0,4035.0,369.0,0.0,5558.0,30194.0,418.0,23469.0,283235.0,2045.0,29027.0,313429.0,2463.0,0.0,1.0,1.0,100.0,5.0,5.0,25.0,1.0,0.0,472.0,2.0,9.0,5.0,0.0,4.0,38.0,11.0,0.0,4.0,10.0,0.0,3.5999999999999996,False,False,False,False,True
367,121.0,195.57999999999998,251.0,4.88,30.5,20.0,113.0,7.12,4.28,2.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18870.0,212853.0,1449.0,18870.0,212853.0,1449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,38.0,9.7,0.0,4.0,9.7,0.0,8.4,False,False,False,True,False
